,id,name,rate,total
0,1,Bulbasaur,"1/1,183","3,550"
1,4,Charmander,1/308,"5,868"
2,5,Charmeleon,1/178,178
3,7,Squirtle,1/856,"4,284"
4,10,Caterpie,1/458,"8,704"
5,11,Metapod,1/178,178
6,13,Weedle,1/405,"7,707"
7,14,Kakuna,1/146,146
8,16,Pidgey,1/459,"9,181"
9,19,Rattata,1/450,"14,400"
10,21,Spearow,1/575,"8,050"
11,23,Ekans,1/450,"7,214"
12,25,Pikachu,1/554,"3,324"
13,27,Sandshrew,1/508,"3,049"
14,29,Nidoran♀,1/327,"3,924"
15,32,Nidoran♂,1/938,"4,692"
16,35,Clefairy,1/463,"2,317"
17,37,Vulpix,1/381,"2,670"
18,39,Jigglypuff,1/454,"4,995"
19,41,Zubat,1/428,"1,285"
20,43,Oddish,1/540,"8,102"
21,44,Gloom,1/15,15
22,46,Paras,"1/1,211","4,846"
23,48,Venonat,1/421,"4,213"
24,50,Diglett,1/734,"4,404"
25,52,Meowth,1/745,"9,691"
26,54,Psyduck,1/649,"1,948"
27,56,Mankey,1/588,"4,709"
28,58,Growlithe,1/361,"6,145"
29,60,Poliwag,1/552,"3,317"
30,63,Abra,1/307,"4,617"
31,66,Machop,1/633,"5,704"
32,69,Bellsprout,1/529,"4,761"
33,74,Geodude,1/327,"7,206"
34,77,Ponyta,1/500,"2,500"
35,79,Slowpoke,1/493,"2,962"
36,81,Magnemite,1/528,"4,760"
37,83,Farfetch'd,1/452,"1,356"
38,84,Doduo,1/800,"3,201"
39,88,Grimer,1/443,"5,318"
40,92,Gastly,1/563,"3,941"
41,95,Onix,1/175,526
42,96,Drowzee,"1/1,382","4,147"
43,97,Hypno,1/75,75
44,98,Krabby,1/321,321
45,100,Voltorb,1/469,"2,345"
46,102,Exeggcute,1/908,"6,357"
47,104,Cubone,1/369,"5,539"
48,106,Hitmonlee,1/395,"2,375"
49,107,Hitmonchan,1/820,"2,460"
50,108,Lickitung,1/274,"1,919"
51,109,Koffing,1/717,"2,868"
52,111,Rhyhorn,1/427,"4,278"
53,113,Chansey,1/696,"1,393"
54,114,Tangela,1/343,"1,375"
55,116,Horsea,1/131,131
56,118,Goldeen,1/565,"1,131"
57,123,Scyther,1/578,"2,315"
58,124,Jynx,1/313,"1,254"
59,125,Electabuzz,1/529,"2,646"
60,126,Magmar,1/622,"2,489"
61,127,Pinsir,1/387,"1,161"
62,128,Tauros,"1/1,292","1,292"
63,129,Magikarp,1/397,"1,988"
64,133,Eevee,1/584,"8,772"
65,137,Porygon,1/256,"1,025"
66,140,Kabuto,1/335,670
67,142,Aerodactyl,1/512,512
68,143,Snorlax,1/602,"2,410"
69,148,Dragonair,1/1,1
70,152,Chikorita,"1/1,756","5,269"
71,155,Cyndaquil,1/600,"8,401"
72,158,Totodile,1/288,"3,173"
73,161,Sentret,1/653,"1,961"
74,163,Hoothoot,1/225,"1,352"
75,165,Ledyba,1/482,"1,929"
76,167,Spinarak,1/295,591
77,170,Chinchou,1/445,445
78,176,Togetic,1/434,"1,302"
79,177,Natu,1/571,"10,278"
80,179,Mareep,1/526,"8,947"
81,183,Marill,1/349,"2,098"
82,185,Sudowoodo,1/437,"3,499"
83,187,Hoppip,1/474,"5,688"
84,190,Aipom,1/640,640
85,193,Yanma,1/464,"4,176"
86,194,Wooper,1/435,"5,228"
87,198,Murkrow,1/371,"6,679"
88,200,Misdreavus,1/519,"3,635"
89,202,Wobbuffet,1/334,669
90,203,Girafarig,1/493,"1,481"
91,204,Pineco,1/431,431
92,206,Dunsparce,1/386,"2,703"
93,209,Snubbull,"1/1,161","4,645"
94,213,Shuckle,1/378,756
95,215,Sneasel,1/220,220
96,218,Slugma,1/333,"1,334"
97,222,Corsola,1/502,502
98,223,Remoraid,"1/1,307","1,307"
99,225,Delibird,1/404,"1,213"
100,227,Skarmory,1/328,656
101,228,Houndour,1/640,"2,562"
102,231,Phanpy,1/348,"2,442"
103,234,Stantler,"1/1,272","1,272"
104,237,Hitmontop,"1/1,017","2,034"
105,241,Miltank,1/868,"1,737"
106,242,Blissey,1/245,982
107,252,Treecko,1/491,"1,965"
108,256,Combusken,1/11,11
109,258,Mudkip,1/766,"2,300"
110,261,Poochyena,1/570,"8,551"
111,263,Zigzagoon,1/525,"8,404"
112,265,Wurmple,"1/1,067","4,269"
113,270,Lotad,1/467,935
114,273,Seedot,1/698,"2,096"
115,276,Taillow,1/430,"10,329"
116,277,Swellow,1/148,148
117,278,Wingull,1/513,"4,107"
118,280,Ralts,1/327,"3,933"
119,283,Surskit,1/443,"4,880"
120,285,Shroomish,1/304,"1,523"
121,287,Slakoth,1/665,"1,330"
122,293,Whismur,1/521,"2,607"
123,296,Makuhita,1/706,"5,654"
124,299,Nosepass,1/414,"1,658"
125,300,Skitty,1/291,"1,167"
126,303,Mawile,1/313,627
127,304,Aron,1/612,"1,224"
128,307,Meditite,1/796,"1,593"
129,309,Electrike,1/531,"4,254"
130,311,Plusle,1/406,"3,252"
131,312,Minun,1/546,"3,279"
132,313,Volbeat,1/358,"1,434"
133,315,Roselia,1/344,"1,723"
134,316,Gulpin,1/448,"4,937"
135,317,Swalot,1/62,62
136,318,Carvanha,1/422,"2,114"
137,322,Numel,1/511,"3,579"
138,333,Swablu,1/597,"6,577"
139,335,Zangoose,1/807,"1,615"
140,336,Seviper,1/285,"1,428"
141,337,Lunatone,1/320,"1,925"
142,338,Solrock,1/547,"2,188"
143,339,Barboach,1/345,"1,729"
144,341,Corphish,1/95,191
145,343,Baltoy,1/455,"1,367"
146,345,Lileep,1/160,160
147,347,Anorith,1/54,164
148,349,Feebas,1/77,77
149,351,Castform,1/904,"1,808"
150,353,Shuppet,"1/1,078","2,156"
151,355,Duskull,1/634,"3,173"
152,358,Chimecho,1/457,"1,831"
153,363,Spheal,1/338,338
154,366,Clamperl,1/644,644
155,369,Relicanth,1/198,198
156,370,Luvdisc,1/433,433
157,387,Turtwig,1/445,"2,672"
158,390,Chimchar,1/339,"1,357"
159,393,Piplup,1/394,"1,974"
160,396,Starly,1/470,"6,580"
161,399,Bidoof,1/370,"10,005"
162,400,Bibarel,1/243,243
163,401,Kricketot,1/875,"1,751"
164,410,Shieldon,1/819,819
165,412,Burmy,1/478,957
166,415,Combee,"1/1,570","1,570"
167,418,Buizel,1/921,"2,765"
168,422,Shellos,1/518,"4,149"
169,425,Drifloon,1/870,"5,220"
170,427,Buneary,1/609,"7,920"
171,431,Glameow,1/380,"7,220"
172,434,Stunky,1/343,"3,775"
173,436,Bronzor,1/279,"1,116"
174,449,Hippopotas,"1/1,378","1,378"
175,453,Croagunk,1/623,"2,493"
176,456,Finneon,1/328,"2,628"
177,457,Lumineon,1/50,50
178,459,Snover,1/372,"1,864"
179,495,Snivy,1/614,"4,913"
180,498,Tepig,1/594,"4,757"
181,501,Oshawott,1/345,"6,559"
182,504,Patrat,1/969,"2,909"
183,505,Watchog,1/83,83
184,506,Lillipup,1/519,"11,436"
185,507,Herdier,1/241,241
186,509,Purrloin,1/437,"3,937"
187,511,Pansage,1/228,"1,828"
188,513,Pansear,1/483,483
189,515,Panpour,1/382,"1,910"
190,517,Munna,1/532,"4,259"
191,519,Pidove,1/734,"6,609"
192,520,Tranquill,1/162,162
193,522,Blitzle,1/822,"3,289"
194,524,Roggenrola,1/744,"1,488"
195,527,Woobat,1/654,"1,963"
196,529,Drilbur,1/743,"4,458"
197,531,Audino,1/147,736
198,535,Tympole,1/384,"10,389"
199,536,Palpitoad,1/308,308
200,538,Throh,1/486,"1,944"
201,539,Sawk,1/464,"2,324"
202,540,Sewaddle,1/556,"12,246"
203,543,Venipede,1/532,"10,123"
204,546,Cottonee,1/346,"4,163"
205,554,Darumaka,1/944,"1,888"
206,557,Dwebble,"1/2,005","2,005"
207,559,Scraggy,1/563,"1,691"
208,562,Yamask,1/474,"1,899"
209,568,Trubbish,"1/1,582","1,582"
210,570,Zorua,1/701,"1,403"
211,572,Minccino,1/474,"5,223"
212,574,Gothita,1/394,"6,304"
213,575,Gothorita,1/132,132
214,576,Gothitelle,1/15,15
215,580,Ducklett,1/547,"2,189"
216,581,Swanna,1/43,43
217,582,Vanillite,1/273,"2,464"
218,585,Deerling,1/392,"1,571"
219,587,Emolga,"1/2,646","2,646"
220,588,Karrablast,1/277,"1,943"
221,592,Frillish,1/389,389
222,594,Alomomola,1/127,127
223,595,Joltik,1/354,"5,678"
224,597,Ferroseed,1/575,"1,725"
225,602,Tynamo,"1/1,591","1,591"
226,603,Eelektrik,1/28,28
227,607,Litwick,1/503,"3,524"
228,610,Axew,1/216,650
229,611,Fraxure,1/22,22
230,616,Shelmet,1/249,"4,984"
231,618,Stunfisk,1/239,"2,152"
232,619,Mienfoo,1/522,"2,089"
233,622,Golett,1/253,506
234,626,Bouffalant,1/337,"1,348"
235,627,Rufflet,1/362,"1,087"
236,631,Heatmor,1/443,"2,218"
237,632,Durant,1/375,"1,876"
238,659,Bunnelby,1/402,"2,820"
239,661,Fletchling,1/673,"8,751"
240,667,Litleo,1/313,"2,193"
241,669,Flabebe,1/587,"3,522"
242,672,Skiddo,1/742,"1,485"
243,676,Furfrou,1/435,871
244,682,Spritzee,1/405,"4,462"
245,686,Inkay,1/309,"1,236"
246,688,Binacle,1/181,363
247,692,Clauncher,1/347,"1,389"
248,694,Helioptile,1/690,"2,761"
249,702,Dedenne,1/465,"1,396"
250,708,Phantump,1/102,102
251,710,Pumpkaboo,1/359,"2,159"
252,712,Bergmite,1/187,187
253,722,Rowlet,1/311,"1,557"
254,723,Dartrix,1/149,149
255,725,Litten,1/584,"9,348"
256,728,Popplio,1/287,574
257,731,Pikipek,1/536,"6,442"
258,732,Trumbeak,1/172,172
259,734,Yungoos,"1/2,605","2,605"
260,736,Grubbin,1/374,"2,622"
261,741,Oricorio,1/457,"2,743"
262,742,Cutiefly,1/329,"2,967"
263,747,Mareanie,1/748,748
264,751,Dewpider,1/443,"1,331"
265,755,Morelull,1/252,"1,009"
266,759,Stufful,1/620,"5,584"
267,761,Bounsweet,1/939,"1,879"
268,767,Wimpod,1/306,"1,836"
269,769,Sandygast,1/508,"2,542"
270,775,Komala,1/823,823
271,777,Togedemaru,1/353,"1,412"
272,779,Bruxish,1/261,523
273,810,Grookey,1/364,"1,823"
274,813,Scorbunny,1/531,"11,685"
275,814,Raboot,1/335,335
276,816,Sobble,1/556,"18,353"
277,819,Skwovet,1/917,"5,506"
278,821,Rookidee,1/501,"6,521"
279,831,Wooloo,1/896,"8,066"
280,850,Sizzlipede,1/758,"2,275"
281,856,Hatenna,1/432,"3,457"
282,859,Impidimp,1/328,"1,314"
283,906,Sprigatito,1/770,"5,392"
284,909,Fuecoco,"1/1,195","8,366"
285,912,Quaxly,1/479,"3,356"
286,915,Lechonk,1/379,"11,003"
287,916,Oinkologne,1/471,471
288,919,Nymble,1/461,"8,765"
289,921,Pawmi,1/555,"3,890"
290,926,Fidough,1/666,"3,333"
291,928,Smoliv,1/421,"5,060"
292,938,Tadbulb,1/578,"1,156"
