,id,name,rate,total
0,1,Bulbasaur,1/640,"1,921"
1,4,Charmander,1/432,"3,029"
2,7,Squirtle,"1/2,081","2,081"
3,10,Caterpie,1/455,"7,287"
4,11,Metapod,1/94,94
5,13,Weedle,"1/1,010","4,042"
6,16,Pidgey,1/451,"5,866"
7,19,Rattata,1/473,"7,569"
8,21,Spearow,"1/1,437","4,311"
9,23,Ekans,1/725,"3,627"
10,25,Pikachu,1/129,"526,105"
11,27,Sandshrew,1/531,"1,594"
12,29,Nidoran♀,1/367,"3,677"
13,32,Nidoran♂,1/543,"3,259"
14,35,Clefairy,1/358,"2,152"
15,37,Vulpix,1/202,"1,415"
16,39,Jigglypuff,1/855,"2,566"
17,41,Zubat,1/653,653
18,43,Oddish,1/493,"5,427"
19,46,Paras,1/354,"2,481"
20,48,Venonat,"1/2,240","2,240"
21,50,Diglett,1/451,"2,258"
22,52,Meowth,1/602,"4,820"
23,54,Psyduck,1/566,"1,698"
24,56,Mankey,"1/1,213","2,426"
25,58,Growlithe,1/451,"3,159"
26,60,Poliwag,1/355,"3,196"
27,63,Abra,"1/1,452","2,904"
28,66,Machop,1/988,"3,953"
29,69,Bellsprout,1/591,"2,364"
30,74,Geodude,1/480,"3,843"
31,75,Graveler,1/72,72
32,77,Ponyta,1/238,"1,430"
33,81,Magnemite,1/509,"3,058"
34,83,Farfetch'd,1/360,721
35,84,Doduo,1/830,"1,661"
36,88,Grimer,1/283,"2,830"
37,92,Gastly,1/533,"2,133"
38,93,Haunter,1/44,44
39,96,Drowzee,1/445,"2,670"
40,100,Voltorb,1/588,"1,177"
41,102,Exeggcute,1/548,"3,839"
42,104,Cubone,1/940,"2,821"
43,106,Hitmonlee,1/214,"1,284"
44,107,Hitmonchan,1/131,"1,312"
45,108,Lickitung,1/325,975
46,109,Koffing,1/371,"1,486"
47,111,Rhyhorn,1/313,"3,134"
48,113,Chansey,1/235,706
49,114,Tangela,1/376,752
50,115,Kangaskhan,1/706,"1,412"
51,123,Scyther,"1/1,145","1,145"
52,125,Electabuzz,1/449,"1,348"
53,126,Magmar,"1/1,217","1,217"
54,127,Pinsir,1/598,598
55,128,Tauros,1/601,"3,609"
56,129,Magikarp,1/925,925
57,133,Eevee,1/731,"4,390"
58,138,Omanyte,1/71,71
59,140,Kabuto,1/147,294
60,143,Snorlax,1/443,"1,329"
61,152,Chikorita,1/953,"2,860"
62,155,Cyndaquil,1/384,"4,232"
63,156,Quilava,1/127,127
64,158,Totodile,1/688,"1,376"
65,161,Sentret,1/936,936
66,163,Hoothoot,1/220,661
67,165,Ledyba,1/409,818
68,167,Spinarak,1/284,284
69,177,Natu,1/452,"7,241"
70,179,Mareep,"1/1,544","4,632"
71,183,Marill,"1/1,014","1,014"
72,185,Sudowoodo,1/348,"1,744"
73,187,Hoppip,1/737,"2,949"
74,191,Sunkern,1/196,588
75,193,Yanma,1/437,"3,500"
76,194,Wooper,1/501,"2,508"
77,198,Murkrow,1/423,"3,391"
78,200,Misdreavus,"1/1,559","3,119"
79,202,Wobbuffet,1/111,333
80,203,Girafarig,1/279,837
81,206,Dunsparce,1/278,"1,668"
82,207,Gligar,1/220,220
83,209,Snubbull,1/592,"4,736"
84,216,Teddiursa,1/351,351
85,218,Slugma,1/668,668
86,220,Swinub,1/23,23
87,222,Corsola,1/372,"1,118"
88,226,Mantine,1/184,184
89,227,Skarmory,1/294,294
90,228,Houndour,1/268,"3,225"
91,231,Phanpy,1/205,"1,235"
92,234,Stantler,1/659,659
93,237,Hitmontop,1/349,"1,049"
94,241,Miltank,1/862,862
95,242,Blissey,1/262,525
96,252,Treecko,1/849,849
97,258,Mudkip,1/982,982
98,261,Poochyena,1/447,"5,823"
99,263,Zigzagoon,1/501,"4,510"
100,265,Wurmple,1/371,"2,226"
101,270,Lotad,1/417,417
102,273,Seedot,1/309,929
103,276,Taillow,1/435,"5,659"
104,277,Swellow,1/84,84
105,278,Wingull,1/542,"2,170"
106,280,Ralts,1/664,"1,993"
107,283,Surskit,1/583,"2,334"
108,285,Shroomish,1/219,659
109,287,Slakoth,1/299,599
110,293,Whismur,1/424,"1,272"
111,296,Makuhita,1/387,"5,034"
112,299,Nosepass,1/292,876
113,300,Skitty,1/508,508
114,303,Mawile,1/102,308
115,307,Meditite,1/384,768
116,309,Electrike,1/492,"3,446"
117,311,Plusle,1/427,"1,710"
118,312,Minun,1/346,"1,734"
119,313,Volbeat,1/777,"3,110"
120,314,Illumise,1/401,"3,616"
121,315,Roselia,1/268,805
122,316,Gulpin,1/400,"4,006"
123,318,Carvanha,1/449,898
124,320,Wailmer,1/38,76
125,322,Numel,1/291,"2,910"
126,325,Spoink,"1/1,063","2,127"
127,333,Swablu,1/541,"4,328"
128,335,Zangoose,1/396,"3,567"
129,336,Seviper,1/795,"3,977"
130,337,Lunatone,1/401,"5,219"
131,338,Solrock,1/670,"4,690"
132,339,Barboach,1/810,810
133,343,Baltoy,1/346,692
134,347,Anorith,1/86,86
135,351,Castform,1/516,516
136,355,Duskull,1/410,"1,643"
137,358,Chimecho,1/471,942
138,363,Spheal,1/188,188
139,370,Luvdisc,1/226,226
140,387,Turtwig,1/741,"1,482"
141,393,Piplup,1/433,867
142,395,Empoleon,1/5,5
143,396,Starly,1/548,"3,289"
144,399,Bidoof,1/713,"4,995"
145,401,Kricketot,1/816,816
146,410,Shieldon,1/365,365
147,415,Combee,1/214,"1,931"
148,418,Buizel,1/255,"1,275"
149,422,Shellos,1/432,"9,942"
150,425,Drifloon,1/421,"2,528"
151,427,Buneary,1/203,"4,063"
152,431,Glameow,"1/1,216","3,650"
153,434,Stunky,1/506,"3,037"
154,436,Bronzor,1/566,566
155,441,Chatot,1/601,"2,406"
156,449,Hippopotas,1/677,677
157,451,Skorupi,1/63,126
158,453,Croagunk,1/175,"1,050"
159,456,Finneon,1/407,"1,223"
160,459,Snover,1/706,"2,119"
161,481,Mesprit,1/1,1
162,495,Snivy,1/885,"2,656"
163,497,Serperior,1/11,11
164,498,Tepig,1/364,"2,553"
165,501,Oshawott,1/341,"3,413"
166,504,Patrat,1/254,"1,525"
167,506,Lillipup,1/534,"8,023"
168,509,Purrloin,"1/1,065","2,131"
169,511,Pansage,1/455,"3,644"
170,513,Pansear,1/605,"1,211"
171,515,Panpour,1/593,"5,338"
172,517,Munna,1/317,"2,224"
173,519,Pidove,1/395,"3,555"
174,522,Blitzle,1/379,"3,411"
175,527,Woobat,1/931,931
176,529,Drilbur,1/373,"2,613"
177,535,Tympole,1/403,"5,250"
178,536,Palpitoad,1/91,183
179,538,Throh,1/319,"5,435"
180,539,Sawk,1/595,"4,761"
181,540,Sewaddle,1/615,"7,997"
182,543,Venipede,1/673,"6,062"
183,546,Cottonee,"1/2,121","2,121"
184,554,Darumaka,1/510,"1,021"
185,557,Dwebble,"1/1,048","1,048"
186,559,Scraggy,1/467,934
187,562,Yamask,1/871,871
188,568,Trubbish,1/270,810
189,570,Zorua,1/390,780
190,572,Minccino,1/346,"3,460"
191,574,Gothita,1/828,"3,312"
192,575,Gothorita,1/74,74
193,580,Ducklett,1/468,937
194,582,Vanillite,"1/1,292","1,292"
195,585,Deerling,1/890,890
196,587,Emolga,"1/1,278","2,556"
197,588,Karrablast,1/881,881
198,590,Foongus,1/332,332
199,595,Joltik,1/715,"2,860"
200,602,Tynamo,1/772,772
201,607,Litwick,1/426,"1,706"
202,611,Fraxure,1/3,3
203,616,Shelmet,1/503,"2,517"
204,618,Stunfisk,1/467,935
205,626,Bouffalant,1/790,"3,950"
206,627,Rufflet,1/271,543
207,631,Heatmor,1/789,"4,737"
208,632,Durant,1/377,"5,279"
209,659,Bunnelby,1/259,"1,554"
210,661,Fletchling,1/730,"4,384"
211,662,Fletchinder,1/142,142
212,663,Talonflame,1/15,15
213,667,Litleo,1/219,"1,534"
214,669,Flabebe,1/506,"8,606"
215,670,Floette,1/105,210
216,672,Skiddo,1/729,729
217,676,Furfrou,1/428,428
218,682,Spritzee,1/557,"2,785"
219,684,Swirlix,"1/1,250","1,250"
220,686,Inkay,1/282,565
221,694,Helioptile,1/243,"1,458"
222,702,Dedenne,1/752,752
223,710,Pumpkaboo,1/513,"1,026"
224,725,Litten,1/580,"4,643"
225,728,Popplio,1/263,263
226,729,Brionne,1/5,5
227,731,Pikipek,1/480,"3,360"
228,732,Trumbeak,1/89,89
229,734,Yungoos,1/675,"1,351"
230,736,Grubbin,1/365,"2,193"
231,741,Oricorio,1/552,"6,625"
232,742,Cutiefly,1/735,"1,471"
233,747,Mareanie,1/351,351
234,751,Dewpider,1/586,586
235,755,Morelull,1/473,473
236,759,Stufful,1/777,"3,886"
237,761,Bounsweet,1/220,880
238,765,Oranguru,1/190,190
239,767,Wimpod,1/803,803
240,769,Sandygast,1/282,"2,541"
241,777,Togedemaru,1/178,713
242,779,Bruxish,1/248,248
243,810,Grookey,1/410,820
244,813,Scorbunny,1/558,"6,141"
245,816,Sobble,1/482,"11,106"
246,817,Drizzile,1/61,61
247,819,Skwovet,1/236,"2,842"
248,821,Rookidee,1/502,"3,514"
249,822,Corvisquire,1/93,93
250,831,Wooloo,1/314,"4,084"
251,832,Dubwool,1/82,82
252,850,Sizzlipede,1/403,"1,209"
253,856,Hatenna,1/389,"1,557"
254,859,Impidimp,1/635,635
255,906,Sprigatito,1/465,"2,793"
256,909,Fuecoco,1/487,"4,391"
257,912,Quaxly,1/407,"1,631"
258,915,Lechonk,1/402,"5,640"
259,919,Nymble,1/344,"4,477"
260,926,Fidough,1/871,"1,743"
261,928,Smoliv,1/337,"2,700"
