,id,name,rate,total
0,1,Bulbasaur,1/454,"9,542"
1,4,Charmander,1/558,"13,954"
2,7,Squirtle,1/462,"9,255"
3,9,Blastoise,1/39,39
4,10,Caterpie,1/633,"24,689"
5,13,Weedle,1/448,"18,379"
6,15,Beedrill,1/50,50
7,16,Pidgey,1/456,"22,802"
8,19,Rattata,1/533,"34,129"
9,21,Spearow,1/483,"18,848"
10,23,Ekans,1/425,"16,580"
11,25,Pikachu,1/757,"8,335"
12,27,Sandshrew,1/525,"6,830"
13,29,Nidoran♀,1/389,"9,749"
14,32,Nidoran♂,1/447,"9,405"
15,35,Clefairy,1/420,"6,312"
16,37,Vulpix,1/180,"6,668"
17,39,Jigglypuff,1/423,"12,282"
18,41,Zubat,1/343,"2,060"
19,43,Oddish,1/575,"17,848"
20,46,Paras,1/419,"10,907"
21,48,Venonat,1/641,"10,260"
22,50,Diglett,1/570,"9,702"
23,52,Meowth,1/97,"22,241"
24,54,Psyduck,1/536,"5,367"
25,56,Mankey,1/440,"11,003"
26,58,Growlithe,1/245,"13,774"
27,60,Poliwag,1/506,"22,292"
28,63,Abra,1/529,"9,527"
29,66,Machop,1/513,"39,002"
30,69,Bellsprout,1/644,"12,891"
31,72,Tentacool,1/475,"17,592"
32,74,Geodude,1/562,"18,002"
33,77,Ponyta,1/120,"6,725"
34,79,Slowpoke,1/560,"6,163"
35,81,Magnemite,1/491,"10,813"
36,83,Farfetch'd,1/61,"3,067"
37,84,Doduo,1/481,"8,673"
38,88,Grimer,1/143,"12,778"
39,90,Shellder,1/338,338
40,92,Gastly,1/374,"8,979"
41,95,Onix,1/75,908
42,96,Drowzee,1/372,"10,045"
43,98,Krabby,1/132,397
44,100,Voltorb,1/491,"5,404"
45,102,Exeggcute,1/668,"16,721"
46,104,Cubone,1/614,"13,516"
47,106,Hitmonlee,1/546,"6,015"
48,107,Hitmonchan,1/956,"5,736"
49,108,Lickitung,1/70,"4,768"
50,109,Koffing,1/740,"6,664"
51,111,Rhyhorn,1/600,"9,613"
52,113,Chansey,1/71,"3,147"
53,114,Tangela,1/700,"3,500"
54,115,Kangaskhan,1/128,"1,289"
55,116,Horsea,1/218,218
56,118,Goldeen,1/653,"1,306"
57,120,Staryu,1/612,612
58,122,Mr. Mime,1/420,"1,261"
59,123,Scyther,1/54,"5,324"
60,124,Jynx,"1/1,044","3,134"
61,125,Electabuzz,1/461,"5,995"
62,126,Magmar,1/673,"5,388"
63,127,Pinsir,1/134,"2,833"
64,128,Tauros,1/319,"3,831"
65,129,Magikarp,1/700,"2,800"
66,131,Lapras,1/48,436
67,133,Eevee,1/433,"18,644"
68,137,Porygon,1/777,"2,332"
69,138,Omanyte,1/234,234
70,142,Aerodactyl,1/62,"1,249"
71,143,Snorlax,"1/1,139","5,695"
72,152,Chikorita,1/449,"13,486"
73,155,Cyndaquil,1/504,"19,669"
74,158,Totodile,1/580,"4,065"
75,161,Sentret,1/477,"3,344"
76,163,Hoothoot,1/970,"1,941"
77,165,Ledyba,1/633,"3,169"
78,167,Spinarak,1/925,925
79,176,Togetic,1/287,"2,870"
80,177,Natu,1/427,"22,651"
81,179,Mareep,1/398,"19,949"
82,183,Marill,1/705,"2,820"
83,185,Sudowoodo,1/402,"7,644"
84,187,Hoppip,1/524,"13,637"
85,190,Aipom,1/941,941
86,191,Sunkern,1/608,"1,824"
87,193,Yanma,1/402,"11,681"
88,194,Wooper,1/573,"9,753"
89,198,Murkrow,1/582,"14,555"
90,200,Misdreavus,1/445,"8,917"
91,202,Wobbuffet,"1/1,129","1,129"
92,203,Girafarig,1/588,"3,531"
93,204,Pineco,1/51,666
94,206,Dunsparce,1/467,"6,081"
95,207,Gligar,1/87,788
96,209,Snubbull,1/461,"11,994"
97,213,Shuckle,1/223,"1,115"
98,215,Sneasel,1/67,338
99,216,Teddiursa,"1/1,094","1,094"
100,218,Slugma,"1/1,129","2,258"
101,222,Corsola,1/348,"1,394"
102,223,Remoraid,"1/1,374","1,374"
103,225,Delibird,1/852,"2,558"
104,227,Skarmory,1/59,"1,069"
105,228,Houndour,1/665,"6,658"
106,231,Phanpy,1/763,"5,343"
107,234,Stantler,"1/1,164","2,328"
108,237,Hitmontop,1/954,"4,774"
109,241,Miltank,1/470,"3,765"
110,252,Treecko,1/391,"3,135"
111,255,Torchic,1/319,958
112,258,Mudkip,1/377,"3,020"
113,261,Poochyena,1/509,"19,857"
114,263,Zigzagoon,1/85,"20,860"
115,265,Wurmple,1/593,"7,124"
116,270,Lotad,1/295,"1,774"
117,273,Seedot,1/685,"3,426"
118,276,Taillow,1/473,"21,306"
119,278,Wingull,1/729,"9,481"
120,280,Ralts,1/493,"32,592"
121,283,Surskit,1/334,"7,356"
122,285,Shroomish,1/277,"2,493"
123,287,Slakoth,1/240,"2,164"
124,290,Nincada,1/37,224
125,293,Whismur,1/519,"4,679"
126,296,Makuhita,1/428,"48,383"
127,299,Nosepass,1/928,"3,713"
128,300,Skitty,1/570,"1,710"
129,302,Sableye,1/88,442
130,303,Mawile,1/63,"1,019"
131,304,Aron,"1/1,048","2,097"
132,307,Meditite,1/581,"2,906"
133,308,Medicham,1/50,50
134,309,Electrike,1/419,"10,068"
135,311,Plusle,1/562,"7,878"
136,312,Minun,1/517,"7,769"
137,313,Volbeat,1/382,"4,205"
138,314,Illumise,1/947,"3,789"
139,315,Roselia,1/388,"2,720"
140,316,Gulpin,1/483,"12,581"
141,318,Carvanha,1/373,"2,243"
142,322,Numel,1/516,"8,775"
143,325,Spoink,1/348,"5,226"
144,333,Swablu,1/461,"12,458"
145,335,Zangoose,1/373,"4,857"
146,336,Seviper,1/660,"4,621"
147,337,Lunatone,1/386,"5,415"
148,338,Solrock,1/331,"5,966"
149,339,Barboach,"1/1,147","2,294"
150,343,Baltoy,1/623,"2,495"
151,349,Feebas,1/100,100
152,351,Castform,1/515,"12,878"
