,id,name,rate,total
0,1,Bulbasaur,1/551,"3,307"
1,4,Charmander,1/418,"5,020"
2,7,Squirtle,1/436,"3,053"
3,10,Caterpie,1/359,"10,422"
4,13,Weedle,1/480,"6,727"
5,15,Beedrill,1/26,26
6,16,Pidgey,1/544,"10,893"
7,19,Rattata,1/400,"12,803"
8,21,Spearow,1/404,"6,880"
9,23,Ekans,1/364,"6,202"
10,25,Pikachu,1/393,"3,146"
11,27,Sandshrew,1/189,"2,656"
12,29,Nidoran♀,1/451,"4,968"
13,32,Nidoran♂,1/672,"5,379"
14,35,Clefairy,1/432,"5,194"
15,37,Vulpix,1/339,"2,374"
16,39,Jigglypuff,1/345,"4,497"
17,41,Zubat,1/525,"1,050"
18,43,Oddish,1/431,"9,935"
19,46,Paras,1/839,"4,197"
20,48,Venonat,1/941,"3,765"
21,50,Diglett,1/388,"3,889"
22,52,Meowth,1/97,"8,259"
23,54,Psyduck,1/722,"5,059"
24,56,Mankey,1/817,"4,085"
25,58,Growlithe,1/245,"5,636"
26,60,Poliwag,1/466,"4,202"
27,63,Abra,1/445,"7,569"
28,66,Machop,1/555,"7,780"
29,69,Bellsprout,1/487,"92,188"
30,72,Tentacool,1/91,91
31,74,Geodude,"1/1,144","6,868"
32,77,Ponyta,1/148,"2,380"
33,79,Slowpoke,1/752,"2,256"
34,80,Slowbro,1/12,12
35,81,Magnemite,1/390,"6,639"
36,83,Farfetch'd,1/74,"1,261"
37,84,Doduo,1/493,"2,963"
38,88,Grimer,1/109,"4,820"
39,90,Shellder,1/154,154
40,92,Gastly,1/885,"3,540"
41,95,Onix,1/52,469
42,96,Drowzee,1/416,"7,081"
43,100,Voltorb,1/264,"2,118"
44,102,Exeggcute,1/503,"96,171"
45,104,Cubone,1/358,"5,025"
46,106,Hitmonlee,"1/2,230","2,230"
47,107,Hitmonchan,1/567,"2,268"
48,108,Lickitung,1/56,"1,850"
49,109,Koffing,1/494,"2,471"
50,111,Rhyhorn,1/486,"4,866"
51,113,Chansey,1/59,"1,240"
52,114,Tangela,1/426,"1,279"
53,115,Kangaskhan,1/103,"1,447"
54,118,Goldeen,1/489,489
55,122,Mr. Mime,1/253,761
56,123,Scyther,1/55,"1,926"
57,124,Jynx,1/413,"1,241"
58,125,Electabuzz,1/596,"2,385"
59,126,Magmar,1/567,"2,268"
60,127,Pinsir,1/109,989
61,128,Tauros,1/528,"3,173"
62,129,Magikarp,1/329,989
63,131,Lapras,1/55,166
64,133,Eevee,1/855,"6,844"
65,137,Porygon,1/290,870
66,140,Kabuto,1/333,333
67,142,Aerodactyl,1/98,491
68,143,Snorlax,"1/1,111","2,222"
69,152,Chikorita,1/605,"4,840"
