,id,name,rate,total
0,1,Bulbasaur,1/356,"3,565"
1,4,Charmander,1/304,"6,094"
2,7,Squirtle,1/458,"3,670"
3,10,Caterpie,1/475,"11,877"
4,13,Weedle,1/573,"8,031"
5,16,Pidgey,1/393,"13,784"
6,19,Rattata,1/565,"14,697"
7,21,Spearow,1/369,"8,127"
8,23,Ekans,1/405,"7,303"
9,25,Pikachu,1/749,"3,746"
10,27,Sandshrew,1/433,"3,032"
11,29,Nidoran♀,1/123,"95,974"
12,32,Nidoran♂,1/129,"93,176"
13,35,Clefairy,1/759,"5,313"
14,37,Vulpix,1/170,"10,030"
15,39,Jigglypuff,1/520,"99,920"
16,41,Zubat,"1/1,133","1,133"
17,43,Oddish,1/453,"10,895"
18,46,Paras,1/351,"4,924"
19,48,Venonat,1/868,"4,341"
20,50,Diglett,1/634,"4,444"
21,52,Meowth,1/91,"9,445"
22,54,Psyduck,1/626,"3,130"
23,56,Mankey,1/974,"4,873"
24,58,Growlithe,1/166,"6,163"
25,60,Poliwag,1/329,"6,264"
26,63,Abra,1/438,"8,769"
27,66,Machop,1/417,"10,435"
28,69,Bellsprout,1/664,"4,648"
29,74,Geodude,1/359,"7,912"
30,77,Ponyta,1/115,"2,653"
31,79,Slowpoke,1/356,"2,497"
32,81,Magnemite,1/514,"6,177"
33,83,Farfetch'd,1/64,"1,494"
34,84,Doduo,1/500,"3,506"
35,88,Grimer,1/101,"5,608"
36,92,Gastly,1/422,"4,225"
37,95,Onix,1/51,566
38,96,Drowzee,1/424,"6,371"
39,98,Krabby,1/214,214
40,100,Voltorb,1/488,"2,441"
41,102,Exeggcute,1/413,"7,848"
42,104,Cubone,1/845,"5,919"
43,106,Hitmonlee,1/533,"2,665"
44,107,Hitmonchan,1/253,"2,539"
45,108,Lickitung,1/56,"2,165"
46,109,Koffing,1/425,"2,980"
47,111,Rhyhorn,1/481,"8,193"
48,113,Chansey,1/63,"39,409"
49,114,Tangela,1/241,"1,446"
50,115,Kangaskhan,1/114,"1,604"
51,122,Mr. Mime,1/952,952
52,123,Scyther,1/68,"2,332"
53,124,Jynx,1/710,"1,421"
54,125,Electabuzz,1/691,"2,767"
55,126,Magmar,"1/2,572","2,572"
56,127,Pinsir,1/90,"1,265"
57,128,Tauros,1/910,"3,640"
58,129,Magikarp,"1/1,082","1,082"
59,131,Lapras,1/107,215
60,133,Eevee,1/331,"7,953"
61,137,Porygon,"1/1,056","1,056"
62,140,Kabuto,1/151,303
63,142,Aerodactyl,1/74,518
64,143,Snorlax,1/528,"2,644"
65,152,Chikorita,"1/1,085","5,429"
66,155,Cyndaquil,1/525,"8,926"
67,158,Totodile,1/540,"1,620"
68,161,Sentret,"1/1,431","1,431"
69,163,Hoothoot,1/300,902
70,165,Ledyba,1/495,"1,486"
71,167,Spinarak,1/417,417
72,176,Togetic,1/448,"1,345"
73,177,Natu,1/360,"13,681"
74,179,Mareep,1/568,"9,094"
75,181,Ampharos,1/12,25
