,id,name,rate,total
0,1,Bulbasaur,1/636,"9,544"
1,2,Ivysaur,1/262,262
2,4,Charmander,1/449,"15,732"
3,5,Charmeleon,1/494,494
4,7,Squirtle,1/473,"10,892"
5,10,Caterpie,1/482,"23,655"
6,11,Metapod,1/253,507
7,13,Weedle,1/483,"20,783"
8,14,Kakuna,1/410,410
9,16,Pidgey,1/437,"26,686"
10,19,Rattata,1/519,"37,941"
11,20,Raticate,1/699,699
12,21,Spearow,1/422,"21,140"
13,22,Fearow,1/471,471
14,23,Ekans,1/546,"18,589"
15,24,Arbok,1/178,534
16,25,Pikachu,1/487,"8,780"
17,27,Sandshrew,1/524,"7,860"
18,29,Nidoran♀,1/484,"9,208"
19,30,Nidorina,1/164,164
20,32,Nidoran♂,1/602,"12,643"
21,35,Clefairy,1/371,"6,317"
22,36,Clefable,1/53,53
23,37,Vulpix,1/534,"6,946"
24,39,Jigglypuff,1/511,"13,290"
25,40,Wigglytuff,1/311,311
26,41,Zubat,1/560,"3,362"
27,43,Oddish,1/503,"21,637"
28,46,Paras,"1/1,088","13,058"
29,48,Venonat,1/624,"11,242"
30,50,Diglett,1/679,"11,545"
31,51,Dugtrio,1/131,131
32,52,Meowth,1/702,"25,275"
33,53,Persian,1/277,277
34,54,Psyduck,1/345,"5,535"
35,56,Mankey,1/906,"12,696"
36,58,Growlithe,1/496,"16,390"
37,60,Poliwag,1/512,"7,690"
38,63,Abra,1/520,"10,933"
39,66,Machop,1/565,"17,530"
40,69,Bellsprout,1/431,"13,361"
41,74,Geodude,1/409,"20,452"
42,77,Ponyta,1/786,"7,082"
43,79,Slowpoke,1/418,"7,527"
44,81,Magnemite,1/762,"12,204"
45,83,Farfetch'd,1/303,"3,642"
46,84,Doduo,1/414,"9,116"
47,88,Grimer,1/621,"14,911"
48,89,Muk,1/383,383
49,90,Shellder,1/310,621
50,92,Gastly,1/645,"10,978"
51,95,Onix,1/344,"1,376"
52,96,Drowzee,1/534,"9,626"
53,98,Krabby,1/165,828
54,100,Voltorb,1/630,"6,304"
55,101,Electrode,1/189,189
56,102,Exeggcute,1/429,"16,327"
57,104,Cubone,1/455,"15,478"
58,106,Hitmonlee,1/680,"6,801"
59,107,Hitmonchan,1/552,"6,626"
60,108,Lickitung,1/688,"5,510"
61,109,Koffing,1/611,"7,951"
62,111,Rhyhorn,1/413,"10,742"
63,112,Rhydon,1/127,127
64,113,Chansey,1/550,"3,854"
65,114,Tangela,1/606,"3,638"
66,115,Kangaskhan,1/556,"1,670"
67,118,Goldeen,1/786,"2,360"
68,120,Staryu,1/489,979
69,122,Mr. Mime,1/334,"1,002"
70,123,Scyther,1/335,"6,035"
71,124,Jynx,1/536,"3,758"
72,125,Electabuzz,1/803,"7,232"
73,126,Magmar,1/456,"6,852"
74,127,Pinsir,1/617,"3,088"
75,128,Tauros,1/422,"3,798"
76,129,Magikarp,1/385,"4,239"
77,131,Lapras,1/579,579
78,133,Eevee,1/463,"22,226"
79,137,Porygon,1/391,"2,743"
80,138,Omanyte,1/100,400
81,140,Kabuto,1/673,"1,347"
82,142,Aerodactyl,1/634,"1,269"
83,143,Snorlax,1/571,"6,855"
84,152,Chikorita,1/466,"14,008"
85,154,Meganium,1/51,51
86,155,Cyndaquil,1/560,"22,984"
87,156,Quilava,1/351,702
88,157,Typhlosion,1/59,59
89,158,Totodile,1/591,"6,509"
90,161,Sentret,1/431,"4,318"
91,163,Hoothoot,1/464,"2,788"
92,165,Ledyba,"1/1,016","4,066"
93,166,Ledian,1/130,130
94,167,Spinarak,1/293,"1,175"
95,169,Crobat,1/162,487
96,170,Chinchou,1/381,"1,144"
