,id,name,rate,total
0,13,Weedle,1/745,"5,220"
1,15,Beedrill,1/133,133
2,16,Pidgey,1/395,"9,093"
3,18,Pidgeot,1/84,420
4,19,Rattata,1/482,"3,376"
5,23,Ekans,1/427,"2,564"
6,25,Pikachu,1/546,"159,033"
7,27,Sandshrew,1/529,"4,237"
8,29,Nidoran♀,1/492,"7,873"
9,32,Nidoran♂,1/352,"4,939"
10,35,Clefairy,1/469,"4,691"
11,37,Vulpix,1/549,"157,840"
12,41,Zubat,1/411,"6,591"
13,48,Venonat,1/490,"3,433"
14,52,Meowth,1/397,"5,570"
15,54,Psyduck,1/368,736
16,58,Growlithe,1/512,"4,098"
17,74,Geodude,1/503,"2,014"
18,77,Ponyta,1/503,"79,049"
19,79,Slowpoke,1/720,720
20,80,Slowbro,1/83,251
21,81,Magnemite,1/507,"383,898"
22,84,Doduo,1/331,"5,632"
23,90,Shellder,1/176,176
24,92,Gastly,1/511,"8,189"
25,94,Gengar,1/98,197
26,95,Onix,1/43,129
27,98,Krabby,1/253,759
28,100,Voltorb,1/483,"212,037"
29,104,Cubone,1/513,"2,568"
30,108,Lickitung,1/62,"4,078"
31,109,Koffing,1/501,"29,070"
32,111,Rhyhorn,1/520,"4,687"
33,113,Chansey,1/75,"1,801"
34,115,Kangaskhan,1/126,"2,154"
35,118,Goldeen,1/319,"1,277"
36,122,Mr. Mime,1/263,"1,583"
37,123,Scyther,1/88,884
38,124,Jynx,1/394,788
39,127,Pinsir,1/79,553
40,128,Tauros,1/732,"1,464"
41,131,Lapras,1/48,928
42,133,Eevee,1/450,"10,814"
43,142,Aerodactyl,1/36,36
44,143,Snorlax,1/754,"1,508"
45,152,Chikorita,1/434,"7,827"
46,155,Cyndaquil,1/464,"6,042"
47,158,Totodile,1/437,"7,443"
48,163,Hoothoot,1/359,"5,396"
49,167,Spinarak,1/733,"4,403"
50,170,Chinchou,1/538,"103,334"
51,176,Togetic,1/467,"8,875"
52,179,Mareep,1/497,"414,758"
53,181,Ampharos,1/121,485
54,185,Sudowoodo,1/439,"2,637"
55,190,Aipom,1/368,"6,629"
56,194,Wooper,1/344,"13,424"
57,200,Misdreavus,1/208,208
58,203,Girafarig,1/437,"6,130"
59,204,Pineco,1/76,"2,586"
60,207,Gligar,1/41,123
61,216,Teddiursa,1/963,"4,819"
62,218,Slugma,1/468,"106,313"
63,220,Swinub,"1/1,037","3,111"
64,222,Corsola,1/469,938
65,228,Houndour,1/238,"2,860"
66,229,Houndoom,1/32,32
67,234,Stantler,"1/1,258","2,517"
68,237,Hitmontop,1/493,"9,383"
69,261,Poochyena,1/439,"7,469"
70,263,Zigzagoon,1/63,"6,426"
71,265,Wurmple,1/647,"6,471"
72,270,Lotad,1/587,"6,460"
73,273,Seedot,1/419,"6,714"
74,276,Taillow,1/611,"3,666"
75,278,Wingull,1/362,"5,800"
76,280,Ralts,"1/1,814","3,628"
77,282,Gardevoir,1/89,804
78,285,Shroomish,1/741,"8,896"
79,287,Slakoth,1/530,"5,303"
80,296,Makuhita,1/365,"5,112"
81,304,Aron,1/623,"2,492"
82,307,Meditite,1/425,"2,977"
83,308,Medicham,1/203,407
84,309,Electrike,1/495,"207,239"
85,310,Manectric,1/389,389
86,316,Gulpin,1/498,"5,483"
87,318,Carvanha,1/383,767
88,328,Trapinch,1/299,598
89,333,Swablu,1/430,"11,187"
90,335,Zangoose,1/444,444
91,336,Seviper,1/398,398
92,337,Lunatone,1/514,"1,028"
93,338,Solrock,1/930,"1,861"
94,339,Barboach,1/639,"1,918"
95,343,Baltoy,1/296,296
96,345,Lileep,1/459,919
97,347,Anorith,1/467,934
98,353,Shuppet,1/389,"4,679"
99,354,Banette,1/199,398
100,371,Bagon,"1/1,030","2,061"
101,373,Salamence,1/72,218
102,374,Beldum,1/778,"2,334"
103,396,Starly,1/363,"5,456"
104,399,Bidoof,1/721,"5,051"
105,418,Buizel,"1/1,445","1,445"
106,422,Shellos,1/378,"1,134"
107,427,Buneary,1/599,"8,993"
108,428,Lopunny,1/168,"1,688"
109,431,Glameow,1/502,"5,022"
110,453,Croagunk,1/461,"14,304"
111,456,Finneon,1/669,"4,016"
112,495,Snivy,"1/1,369","2,738"
113,498,Tepig,1/436,"2,184"
114,501,Oshawott,1/460,"2,303"
115,506,Lillipup,1/788,"10,253"
116,513,Pansear,1/237,475
117,515,Panpour,1/491,"1,964"
118,519,Pidove,1/489,"8,323"
119,524,Roggenrola,"1/1,055","1,055"
120,527,Woobat,1/699,"5,595"
121,529,Drilbur,"1/2,243","2,243"
122,535,Tympole,1/753,"1,507"
123,538,Throh,"1/1,446","1,446"
124,539,Sawk,1/433,"2,166"
125,543,Venipede,1/481,962
126,548,Petilil,1/253,"2,789"
127,554,Darumaka,1/684,"2,739"
128,557,Dwebble,1/376,"4,142"
129,559,Scraggy,1/231,"2,084"
130,564,Tirtouga,1/70,70
131,570,Zorua,1/837,837
132,588,Karrablast,1/434,"3,479"
133,590,Foongus,1/427,"5,125"
134,592,Frillish,1/294,"1,471"
135,605,Elgyem,1/581,"1,163"
136,607,Litwick,1/479,"457,666"
137,613,Cubchoo,1/818,"3,272"
138,616,Shelmet,1/416,"2,914"
139,618,Stunfisk,1/76,"2,229"
140,661,Fletchling,1/519,"4,152"
141,667,Litleo,1/575,"4,029"
142,682,Spritzee,1/812,"2,438"
143,684,Swirlix,1/383,"7,282"
144,688,Binacle,1/276,552
145,690,Skrelp,1/545,545
146,692,Clauncher,1/909,909
147,696,Tyrunt,1/268,536
148,698,Amaura,1/716,716
149,702,Dedenne,1/840,"7,564"
150,704,Goomy,1/434,"1,736"
151,708,Phantump,1/279,"1,959"
152,714,Noibat,1/180,180
153,736,Grubbin,1/538,"7,006"
154,751,Dewpider,1/630,"3,780"
155,753,Fomantis,1/498,"4,987"
156,755,Morelull,1/458,"102,722"
157,765,Oranguru,1/409,819
158,915,Lechonk,1/441,"16,769"
