,id,name,rate,total
0,1,Bulbasaur,1/682,"6,139"
1,4,Charmander,1/517,"8,802"
2,7,Squirtle,1/589,"5,895"
3,10,Caterpie,1/506,"18,219"
4,13,Weedle,1/619,"11,764"
5,16,Pidgey,1/532,"16,519"
6,19,Rattata,1/413,"21,904"
7,21,Spearow,1/542,"11,943"
8,23,Ekans,1/626,"10,648"
9,25,Pikachu,1/433,"5,634"
10,27,Sandshrew,1/552,"4,423"
11,29,Nidoran♀,1/606,"7,886"
12,32,Nidoran♂,1/384,"8,084"
13,35,Clefairy,1/589,"6,482"
14,37,Vulpix,1/172,"4,316"
15,39,Jigglypuff,1/411,"7,820"
16,41,Zubat,"1/1,574","1,574"
17,43,Oddish,1/518,"13,474"
18,46,Paras,1/506,"7,084"
19,48,Venonat,1/468,"6,562"
20,50,Diglett,"1/2,043","6,130"
21,52,Meowth,1/91,"14,466"
22,54,Psyduck,1/360,"5,770"
23,56,Mankey,"1/1,491","7,459"
24,58,Growlithe,1/186,"9,305"
25,60,Poliwag,1/467,"82,696"
26,63,Abra,1/476,"8,099"
27,66,Machop,1/548,"123,359"
28,69,Bellsprout,1/456,"7,760"
29,72,Tentacool,1/480,"108,029"
30,74,Geodude,1/428,"11,557"
31,77,Ponyta,1/106,"4,245"
32,79,Slowpoke,1/790,"3,952"
33,81,Magnemite,1/396,"9,114"
34,83,Farfetch'd,1/48,"1,974"
35,84,Doduo,1/413,"5,379"
36,88,Grimer,1/130,"8,643"
37,92,Gastly,1/480,"6,249"
38,95,Onix,1/52,682
39,96,Drowzee,"1/1,042","8,341"
40,100,Voltorb,1/344,"3,440"
41,102,Exeggcute,1/621,"12,427"
42,104,Cubone,1/512,"8,704"
43,106,Hitmonlee,1/322,"3,865"
44,107,Hitmonchan,1/780,"3,903"
45,108,Lickitung,1/72,"3,055"
46,109,Koffing,1/554,"4,433"
47,111,Rhyhorn,1/459,"7,354"
48,113,Chansey,1/48,"2,145"
49,114,Tangela,1/545,"2,183"
50,115,Kangaskhan,1/223,"1,787"
51,118,Goldeen,1/264,793
52,120,Staryu,1/120,361
53,122,Mr. Mime,1/423,"1,271"
54,123,Scyther,1/80,"3,448"
55,124,Jynx,1/670,"2,011"
56,125,Electabuzz,1/436,"3,926"
57,126,Magmar,1/889,"3,559"
58,127,Pinsir,1/107,"1,712"
59,128,Tauros,1/271,"3,260"
60,129,Magikarp,1/384,"1,538"
61,131,Lapras,1/38,270
62,133,Eevee,1/361,"12,303"
63,137,Porygon,1/752,"1,505"
64,142,Aerodactyl,1/50,800
65,143,Snorlax,1/738,"3,693"
66,152,Chikorita,1/521,"8,350"
67,155,Cyndaquil,1/446,"12,488"
68,158,Totodile,1/471,"2,358"
69,161,Sentret,1/249,"1,997"
70,163,Hoothoot,1/430,"1,291"
71,165,Ledyba,1/373,"1,866"
72,176,Togetic,1/461,"1,844"
73,177,Natu,1/681,"16,346"
74,179,Mareep,1/644,"13,526"
75,181,Ampharos,1/22,22
76,183,Marill,1/573,"1,719"
77,185,Sudowoodo,1/449,"4,942"
78,187,Hoppip,1/980,"8,828"
79,190,Aipom,1/297,594
80,191,Sunkern,1/375,"1,127"
81,193,Yanma,1/337,"9,457"
82,194,Wooper,1/342,"6,157"
83,198,Murkrow,1/441,"9,706"
84,200,Misdreavus,1/450,"7,213"
85,202,Wobbuffet,1/402,805
86,203,Girafarig,1/310,"2,176"
87,204,Pineco,1/50,407
88,206,Dunsparce,1/375,"5,255"
89,207,Gligar,1/90,541
90,209,Snubbull,1/436,"10,050"
91,213,Shuckle,1/250,750
92,215,Sneasel,1/56,225
93,216,Teddiursa,1/656,656
94,218,Slugma,1/781,"1,562"
95,222,Corsola,1/544,"1,634"
96,223,Remoraid,1/838,838
97,225,Delibird,1/328,"1,640"
98,226,Mantine,1/318,318
99,227,Skarmory,1/50,710
100,228,Houndour,1/435,"6,099"
101,231,Phanpy,1/556,"3,339"
102,234,Stantler,"1/1,632","1,632"
103,237,Hitmontop,1/240,"3,127"
104,241,Miltank,1/423,"2,541"
105,246,Larvitar,1/59,59
106,252,Treecko,1/882,"1,765"
107,255,Torchic,1/570,570
108,258,Mudkip,1/876,"1,753"
109,261,Poochyena,1/487,"14,623"
110,263,Zigzagoon,1/103,"13,805"
111,265,Wurmple,1/393,"6,295"
112,270,Lotad,"1/1,041","1,041"
113,273,Seedot,"1/1,077","2,155"
114,276,Taillow,1/417,"15,018"
115,278,Wingull,1/634,"6,342"
116,280,Ralts,1/499,"118,835"
117,283,Surskit,1/542,"4,341"
118,285,Shroomish,1/514,"1,542"
119,287,Slakoth,"1/1,253","1,253"
120,290,Nincada,1/34,137
121,293,Whismur,1/409,"3,273"
122,296,Makuhita,1/527,"171,912"
123,299,Nosepass,1/828,"2,484"
124,300,Skitty,"1/1,087","1,087"
125,302,Sableye,1/311,311
126,303,Mawile,1/52,678
127,304,Aron,1/286,"1,433"
128,307,Meditite,1/472,"1,889"
129,308,Medicham,1/59,59
130,309,Electrike,1/481,"8,187"
131,310,Manectric,1/30,61
132,311,Plusle,1/363,"5,084"
133,312,Minun,1/457,"5,030"
134,313,Volbeat,1/407,"4,890"
135,314,Illumise,"1/1,611","3,222"
136,315,Roselia,1/402,"1,608"
137,316,Gulpin,1/491,"9,833"
138,318,Carvanha,1/635,"1,271"
139,322,Numel,1/554,"7,759"
140,325,Spoink,1/517,"6,209"
141,333,Swablu,1/462,"9,243"
142,335,Zangoose,1/863,"6,041"
143,336,Seviper,1/570,"3,995"
144,337,Lunatone,1/544,"4,903"
145,338,Solrock,1/618,"7,418"
146,339,Barboach,1/652,"1,305"
147,343,Baltoy,"1/1,656","1,656"
148,349,Feebas,1/70,70
149,351,Castform,1/550,"8,264"
150,353,Shuppet,1/546,"3,276"
151,354,Banette,1/77,77
152,355,Duskull,1/512,"4,608"
153,358,Chimecho,"1/1,305","2,611"
154,359,Absol,1/95,287
155,366,Clamperl,1/61,980
156,369,Relicanth,1/265,265
157,387,Turtwig,1/575,"4,605"
158,390,Chimchar,1/477,955
159,393,Piplup,1/320,"1,281"
160,396,Starly,1/450,"9,465"
161,399,Bidoof,1/697,"13,261"
162,401,Kricketot,1/357,"1,788"
163,408,Cranidos,1/471,943
164,410,Shieldon,1/924,924
165,412,Burmy,1/526,"1,053"
166,415,Combee,1/469,"4,222"
167,418,Buizel,1/711,"2,135"
168,422,Shellos,1/452,"12,657"
169,425,Drifloon,1/432,"7,349"
170,427,Buneary,1/388,"12,049"
171,431,Glameow,1/445,"11,137"
172,434,Stunky,1/763,"8,402"
173,436,Bronzor,1/86,"1,388"
174,441,Chatot,1/442,"3,099"
175,448,Lucario,1/198,198
176,449,Hippopotas,1/848,"1,696"
177,456,Finneon,1/692,"2,078"
178,459,Snover,1/322,"3,867"
179,481,Mesprit,1/6,6
180,495,Snivy,1/649,"7,798"
181,498,Tepig,1/515,"117,481"
182,501,Oshawott,1/583,"8,748"
183,504,Patrat,1/388,"5,049"
184,506,Lillipup,1/515,"21,632"
185,509,Purrloin,1/435,"6,095"
186,511,Pansage,1/756,"5,293"
187,513,Pansear,1/666,"1,998"
188,515,Panpour,1/434,"4,783"
189,517,Munna,1/330,"5,949"
190,519,Pidove,1/541,"10,830"
191,522,Blitzle,1/500,"6,507"
192,524,Roggenrola,1/894,"1,789"
193,527,Woobat,1/481,"2,409"
194,529,Drilbur,1/522,"6,268"
195,531,Audino,1/112,"1,120"
196,532,Timburr,1/67,"32,229"
197,535,Tympole,1/512,"14,349"
198,538,Throh,1/494,"4,947"
199,539,Sawk,1/470,"7,532"
200,540,Sewaddle,1/612,"21,454"
201,543,Venipede,1/582,"18,060"
202,546,Cottonee,1/561,"6,177"
203,554,Darumaka,1/513,"3,079"
204,557,Dwebble,1/545,"3,273"
205,559,Scraggy,1/477,"2,867"
206,562,Yamask,1/104,"2,184"
207,568,Trubbish,1/512,"2,564"
208,572,Minccino,1/744,"10,425"
209,574,Gothita,1/435,"9,573"
210,580,Ducklett,1/760,"1,520"
211,582,Vanillite,1/932,"3,731"
212,585,Deerling,1/375,"2,627"
213,587,Emolga,1/557,"5,020"
214,588,Karrablast,1/424,"5,514"
215,592,Frillish,1/218,437
216,594,Alomomola,1/56,170
217,595,Joltik,1/592,"8,296"
218,597,Ferroseed,1/678,"2,034"
219,602,Tynamo,1/418,"1,254"
220,607,Litwick,1/491,"4,917"
221,616,Shelmet,1/522,"23,517"
222,618,Stunfisk,1/106,"1,811"
223,619,Mienfoo,1/696,"2,785"
224,622,Golett,1/338,677
225,626,Bouffalant,1/328,"3,945"
226,627,Rufflet,1/329,"1,317"
227,631,Heatmor,1/385,"7,328"
228,632,Durant,1/688,"4,820"
229,659,Bunnelby,1/477,"4,772"
230,661,Fletchling,1/520,"13,000"
231,667,Litleo,1/567,"5,676"
232,669,Flabebe,1/493,"31,060"
233,672,Skiddo,1/321,"2,252"
234,682,Spritzee,1/450,"9,901"
235,684,Swirlix,1/385,"3,859"
236,686,Inkay,1/508,"162,704"
237,690,Skrelp,1/211,423
238,692,Clauncher,1/828,828
239,694,Helioptile,1/613,"11,044"
240,696,Tyrunt,1/558,558
241,702,Dedenne,1/738,"2,214"
242,703,Carbink,1/224,448
243,710,Pumpkaboo,1/887,"1,775"
244,714,Noibat,1/567,567
245,725,Litten,1/416,"12,902"
246,728,Popplio,1/651,651
247,731,Pikipek,1/500,"29,556"
248,734,Yungoos,1/831,"3,325"
249,736,Grubbin,1/539,"5,395"
250,741,Oricorio,1/551,"8,275"
251,742,Cutiefly,1/649,"4,546"
252,751,Dewpider,1/475,950
253,753,Fomantis,1/265,265
254,755,Morelull,"1/1,051","1,051"
255,759,Stufful,1/707,"10,607"
256,761,Bounsweet,1/933,"1,867"
257,765,Oranguru,1/377,377
258,767,Wimpod,1/646,"1,293"
259,769,Sandygast,1/313,"3,445"
260,775,Komala,1/787,787
261,777,Togedemaru,1/688,"2,064"
262,782,Jangmo-o,1/188,376
263,819,Skwovet,1/913,"8,224"
264,821,Rookidee,1/417,"36,283"
265,831,Wooloo,1/611,"11,622"
266,856,Hatenna,"1/1,346","4,039"
267,906,Sprigatito,1/555,"24,988"
268,909,Fuecoco,1/470,"39,041"
269,912,Quaxly,1/452,"7,696"
270,915,Lechonk,1/670,"16,756"
271,919,Nymble,1/345,"13,116"
272,921,Pawmi,1/488,"365,657"
273,928,Smoliv,"1/1,025","8,203"
274,960,Wiglett,1/290,290
