,id,name,rate,total
0,16,Pidgey,1/433,"13,012"
1,19,Rattata,1/526,"6,316"
2,25,Pikachu,1/607,"15,180"
3,27,Sandshrew,1/367,"4,406"
4,29,Nidoran♀,1/560,"3,365"
5,32,Nidoran♂,1/255,"3,320"
6,41,Zubat,1/469,"9,850"
7,43,Oddish,1/527,"16,870"
8,58,Growlithe,1/420,"5,471"
9,63,Abra,1/398,"2,787"
10,66,Machop,1/508,"23,393"
11,69,Bellsprout,1/473,"19,885"
12,72,Tentacool,1/366,"5,135"
13,74,Geodude,1/417,"4,593"
14,77,Ponyta,1/514,"9,779"
15,81,Magnemite,1/459,"2,754"
16,84,Doduo,1/464,"6,500"
17,88,Grimer,1/958,"8,627"
18,92,Gastly,1/532,"7,983"
19,94,Gengar,1/101,101
20,95,Onix,1/165,497
21,98,Krabby,1/446,"5,801"
22,100,Voltorb,1/474,"14,724"
23,102,Exeggcute,1/412,"3,297"
24,103,Exeggutor,1/36,109
25,104,Cubone,1/257,"3,342"
26,106,Hitmonlee,1/782,"1,564"
27,107,Hitmonchan,1/327,"1,635"
28,109,Koffing,1/547,"7,658"
29,111,Rhyhorn,1/511,"7,677"
30,113,Chansey,1/70,"1,823"
31,114,Tangela,1/404,"1,617"
32,115,Kangaskhan,1/138,"5,136"
33,116,Horsea,1/798,"5,586"
34,118,Goldeen,1/367,"10,294"
35,120,Staryu,1/803,"3,215"
36,122,Mr. Mime,1/245,245
37,124,Jynx,1/105,211
38,126,Magmar,1/136,273
39,128,Tauros,"1/1,048","2,097"
40,129,Magikarp,1/308,"11,097"
41,130,Gyarados,1/169,508
42,133,Eevee,1/509,"18,849"
43,137,Porygon,1/642,"3,211"
44,140,Kabuto,1/145,437
45,142,Aerodactyl,1/166,166
46,143,Snorlax,1/118,118
47,147,Dratini,1/694,"1,389"
48,163,Hoothoot,1/344,"5,861"
49,165,Ledyba,1/460,"18,410"
50,167,Spinarak,1/446,"2,233"
51,170,Chinchou,1/540,"28,119"
52,177,Natu,1/624,"14,369"
53,183,Marill,1/471,"19,348"
54,187,Hoppip,1/427,"32,896"
55,190,Aipom,1/666,"6,660"
56,191,Sunkern,1/726,"15,259"
57,193,Yanma,1/540,"37,802"
58,194,Wooper,1/401,"4,016"
59,198,Murkrow,1/555,"5,001"
60,202,Wobbuffet,1/394,394
61,203,Girafarig,1/516,"2,065"
62,204,Pineco,1/57,912
63,207,Gligar,1/77,698
64,209,Snubbull,1/559,"17,342"
65,211,Qwilfish,1/489,"1,467"
66,213,Shuckle,1/284,"1,707"
67,216,Teddiursa,1/675,"2,026"
68,222,Corsola,1/408,"2,043"
69,228,Houndour,1/626,"1,252"
70,231,Phanpy,1/585,"4,683"
71,234,Stantler,"1/1,252","1,252"
72,237,Hitmontop,1/521,"3,647"
73,241,Miltank,1/269,"1,615"
74,252,Treecko,1/530,"16,968"
75,255,Torchic,1/514,"15,949"
76,258,Mudkip,1/549,"41,724"
77,261,Poochyena,"1/1,002","1,002"
78,263,Zigzagoon,1/447,"47,890"
79,270,Lotad,1/593,"19,601"
80,273,Seedot,1/455,"5,470"
81,285,Shroomish,1/578,"3,470"
82,287,Slakoth,1/471,"2,358"
83,296,Makuhita,1/341,"8,526"
84,300,Skitty,1/608,"15,814"
85,304,Aron,1/405,"32,816"
86,307,Meditite,1/566,"1,132"
87,311,Plusle,1/505,"3,035"
88,312,Minun,"1/1,027","3,082"
89,313,Volbeat,1/407,814
90,314,Illumise,1/889,"1,778"
91,315,Roselia,"1/1,047","6,286"
92,320,Wailmer,1/950,"6,653"
93,328,Trapinch,1/420,"3,365"
94,333,Swablu,1/571,"7,998"
95,335,Zangoose,1/656,"3,939"
96,336,Seviper,1/422,"2,533"
