,id,name,rate,total
0,10,Caterpie,1/802,"7,226"
1,19,Rattata,1/458,"17,863"
2,21,Spearow,1/704,"4,932"
3,23,Ekans,1/375,"1,502"
4,25,Pikachu,1/505,"16,186"
5,29,Nidoran♀,1/581,"15,115"
6,32,Nidoran♂,1/464,"14,411"
7,37,Vulpix,1/631,"2,526"
8,39,Jigglypuff,1/483,"7,730"
9,41,Zubat,1/891,"4,455"
10,43,Oddish,1/733,"1,466"
11,48,Venonat,"1/1,208","3,625"
12,50,Diglett,1/505,"61,666"
13,54,Psyduck,1/381,"9,530"
14,56,Mankey,1/451,"3,614"
15,58,Growlithe,1/327,"8,515"
16,59,Arcanine,1/133,399
17,60,Poliwag,1/425,"3,827"
18,63,Abra,1/555,"4,996"
19,74,Geodude,1/509,"64,747"
20,77,Ponyta,1/558,"2,790"
21,81,Magnemite,1/425,"38,690"
22,92,Gastly,1/738,"2,954"
23,94,Gengar,1/29,89
24,96,Drowzee,1/441,"29,550"
25,100,Voltorb,1/456,"10,496"
26,104,Cubone,1/523,"2,619"
27,109,Koffing,1/321,"5,469"
28,113,Chansey,1/65,263
29,114,Tangela,1/341,"1,705"
30,115,Kangaskhan,1/523,"1,569"
31,123,Scyther,1/58,291
32,127,Pinsir,1/386,772
33,128,Tauros,1/423,"1,271"
34,129,Magikarp,1/437,"7,437"
35,133,Eevee,1/906,"9,067"
36,138,Omanyte,1/288,577
37,140,Kabuto,1/308,617
38,147,Dratini,1/486,972
39,152,Chikorita,1/386,"6,567"
40,155,Cyndaquil,1/667,"6,674"
41,158,Totodile,1/481,"6,746"
42,161,Sentret,1/401,"2,809"
43,185,Sudowoodo,1/571,"1,713"
44,194,Wooper,1/455,"16,856"
45,204,Pineco,1/48,48
46,206,Dunsparce,1/567,"1,701"
47,209,Snubbull,1/415,"17,456"
48,216,Teddiursa,1/427,"2,995"
49,220,Swinub,1/433,"10,849"
50,241,Miltank,1/377,"1,509"
51,261,Poochyena,1/513,"3,592"
52,263,Zigzagoon,1/568,"3,982"
53,265,Wurmple,1/444,"21,345"
54,270,Lotad,1/361,"3,972"
55,273,Seedot,1/235,706
56,276,Taillow,1/516,"21,183"
57,299,Nosepass,1/474,"37,929"
58,300,Skitty,1/347,"4,164"
59,304,Aron,1/548,"79,558"
60,311,Plusle,1/522,"18,270"
61,312,Minun,1/463,"18,075"
62,313,Volbeat,1/521,"1,563"
63,314,Illumise,1/550,"2,750"
64,325,Spoink,1/514,"23,165"
65,333,Swablu,1/651,"4,559"
66,335,Zangoose,1/306,920
67,337,Lunatone,1/510,"1,020"
68,338,Solrock,1/397,"1,588"
69,343,Baltoy,1/507,"75,161"
70,351,Castform,"1/1,087","2,175"
71,353,Shuppet,1/338,"2,367"
72,371,Bagon,1/133,133
73,374,Beldum,1/456,"22,356"
74,387,Turtwig,1/585,"7,616"
75,390,Chimchar,1/431,"7,760"
76,393,Piplup,1/506,"9,113"
77,418,Buizel,1/424,"1,696"
78,425,Drifloon,1/892,892
79,427,Buneary,1/486,"16,049"
80,431,Glameow,1/483,"37,256"
81,443,Gible,1/211,423
82,453,Croagunk,1/421,"6,738"
83,495,Snivy,1/608,"1,216"
84,504,Patrat,1/379,"6,447"
85,524,Roggenrola,1/497,"37,843"
86,527,Woobat,1/730,730
87,597,Ferroseed,1/623,"1,870"
88,631,Heatmor,1/326,326
89,632,Durant,1/441,"2,207"
90,661,Fletchling,1/804,"12,063"
