,id,name,rate,total
0,1,Bulbasaur,1/720,"13,682"
1,4,Charmander,1/457,"10,525"
2,7,Squirtle,1/447,"52,832"
3,9,Blastoise,1/186,186
4,10,Caterpie,1/569,"6,829"
5,13,Weedle,1/517,"22,232"
6,16,Pidgey,1/499,"25,957"
7,18,Pidgeot,1/152,152
8,19,Rattata,1/444,"22,662"
9,25,Pikachu,1/450,"22,969"
10,35,Clefairy,1/500,"13,011"
11,41,Zubat,1/556,"14,463"
12,43,Oddish,1/766,"8,430"
13,50,Diglett,1/542,"3,257"
14,52,Meowth,"1/1,602","3,205"
15,58,Growlithe,1/808,"12,943"
16,66,Machop,1/475,"21,394"
17,69,Bellsprout,1/427,"5,134"
18,72,Tentacool,1/446,"17,430"
19,74,Geodude,1/650,"5,856"
20,77,Ponyta,1/393,"2,359"
21,79,Slowpoke,1/686,"9,616"
22,80,Slowbro,1/69,278
23,81,Magnemite,1/674,"23,591"
24,84,Doduo,1/477,"2,388"
25,86,Seel,"1/1,828","1,828"
26,92,Gastly,1/654,"14,401"
27,94,Gengar,1/65,263
28,100,Voltorb,1/488,"11,728"
29,106,Hitmonlee,1/590,"2,362"
30,107,Hitmonchan,1/795,"2,387"
31,108,Lickitung,1/63,315
32,111,Rhyhorn,1/736,"2,210"
33,114,Tangela,1/559,"1,677"
34,115,Kangaskhan,1/271,"1,902"
35,118,Goldeen,1/342,"7,545"
36,122,Mr. Mime,1/510,510
37,123,Scyther,1/40,604
38,124,Jynx,1/320,641
39,127,Pinsir,1/359,718
40,128,Tauros,1/277,"1,941"
41,129,Magikarp,1/378,"7,944"
42,133,Eevee,1/451,"8,129"
43,137,Porygon,1/336,"1,683"
44,143,Snorlax,1/509,"1,527"
45,161,Sentret,1/417,"19,619"
46,165,Ledyba,1/483,"30,459"
47,170,Chinchou,1/890,"4,452"
48,177,Natu,1/584,"14,037"
49,183,Marill,1/455,"15,027"
50,185,Sudowoodo,1/373,"2,240"
51,190,Aipom,1/632,"24,033"
52,191,Sunkern,1/954,"4,771"
53,193,Yanma,1/416,"4,167"
54,194,Wooper,1/501,"12,036"
55,198,Murkrow,1/440,"8,370"
56,200,Misdreavus,1/430,"8,610"
57,206,Dunsparce,1/327,"2,290"
58,207,Gligar,1/43,433
59,211,Qwilfish,"1/1,376","2,752"
60,215,Sneasel,1/49,295
61,227,Skarmory,1/59,"1,195"
62,234,Stantler,1/373,373
63,252,Treecko,1/617,"9,881"
64,255,Torchic,1/536,"10,199"
65,258,Mudkip,1/675,"18,919"
66,261,Poochyena,1/638,"10,850"
67,265,Wurmple,1/639,"15,986"
68,270,Lotad,1/428,"8,566"
69,273,Seedot,1/524,"6,295"
70,276,Taillow,1/534,"13,894"
71,293,Whismur,1/464,"12,531"
72,296,Makuhita,1/306,612
73,299,Nosepass,1/415,"3,323"
74,300,Skitty,1/453,"6,801"
75,302,Sableye,1/280,280
76,304,Aron,1/496,"30,283"
77,313,Volbeat,1/395,"3,160"
78,314,Illumise,1/559,"2,796"
79,315,Roselia,1/832,"8,320"
80,318,Carvanha,1/406,"1,218"
81,320,Wailmer,1/461,922
82,325,Spoink,"1/1,570","1,570"
83,328,Trapinch,1/536,"25,770"
84,333,Swablu,1/368,"3,315"
85,335,Zangoose,"1/1,317","1,317"
86,336,Seviper,1/192,"1,153"
87,338,Solrock,1/507,"1,015"
88,339,Barboach,1/350,"4,211"
89,349,Feebas,1/93,372
90,351,Castform,1/556,"7,229"
91,355,Duskull,1/396,"5,552"
92,358,Chimecho,1/110,110
93,370,Luvdisc,1/876,"5,257"
94,374,Beldum,1/310,"2,175"
95,387,Turtwig,1/616,"2,466"
96,390,Chimchar,"1/2,520","2,520"
97,393,Piplup,1/540,"2,702"
98,399,Bidoof,1/514,"23,653"
99,418,Buizel,1/373,"7,095"
100,431,Glameow,1/515,"27,295"
101,436,Bronzor,1/63,"2,526"
102,443,Gible,1/317,317
103,451,Skorupi,"1/1,103","3,311"
104,459,Snover,1/700,"9,101"
105,506,Lillipup,1/460,"15,206"
106,519,Pidove,1/897,"12,567"
107,524,Roggenrola,"1/1,531","1,531"
108,527,Woobat,1/396,"4,363"
109,535,Tympole,1/583,"6,414"
110,538,Throh,1/410,"3,287"
111,539,Sawk,1/645,"4,515"
112,557,Dwebble,1/453,"10,441"
113,594,Alomomola,1/36,72
114,631,Heatmor,1/161,322
115,632,Durant,1/328,"1,314"
116,659,Bunnelby,1/458,"38,521"
117,661,Fletchling,1/391,"5,878"
