,id,name,rate,total
0,1,Bulbasaur,1/477,"44,868"
1,4,Charmander,1/520,"45,256"
2,7,Squirtle,1/519,"45,198"
3,9,Blastoise,1/32,32
4,10,Caterpie,1/448,"32,282"
5,13,Weedle,1/455,"1,820"
6,16,Pidgey,1/476,"39,538"
7,18,Pidgeot,1/72,216
8,19,Rattata,1/572,"18,903"
9,21,Spearow,1/466,"46,226"
10,23,Ekans,1/625,"13,128"
11,25,Pikachu,1/550,"76,500"
12,27,Sandshrew,1/827,"14,059"
13,32,Nidoran♂,1/704,"19,021"
14,35,Clefairy,"1/2,590","2,590"
15,37,Vulpix,1/495,"15,844"
16,39,Jigglypuff,1/480,"41,786"
17,41,Zubat,1/695,"9,742"
18,43,Oddish,1/503,"50,863"
19,46,Paras,1/551,"52,922"
20,48,Venonat,1/512,"27,697"
21,52,Meowth,1/540,"56,733"
22,54,Psyduck,1/887,"12,430"
23,56,Mankey,1/507,"54,826"
24,58,Growlithe,1/501,"46,607"
25,60,Poliwag,1/651,"8,472"
26,63,Abra,1/568,"5,682"
27,66,Machop,1/442,"44,734"
28,69,Bellsprout,1/348,"7,310"
29,72,Tentacool,1/282,"1,697"
30,74,Geodude,1/522,"24,573"
31,77,Ponyta,1/843,"4,217"
32,79,Slowpoke,1/451,"10,839"
33,80,Slowbro,1/163,817
34,81,Magnemite,1/776,"10,870"
35,88,Grimer,1/161,"139,458"
36,90,Shellder,1/331,"2,979"
37,92,Gastly,1/502,"31,151"
38,95,Onix,1/87,"3,155"
39,98,Krabby,"1/1,826","1,826"
40,100,Voltorb,1/606,"21,243"
41,102,Exeggcute,1/665,"5,992"
42,106,Hitmonlee,1/669,"8,697"
43,107,Hitmonchan,1/578,"8,679"
44,108,Lickitung,1/56,"11,859"
45,109,Koffing,1/479,"31,649"
46,113,Chansey,1/54,"8,548"
47,114,Tangela,1/723,"11,570"
48,115,Kangaskhan,1/116,"1,753"
49,116,Horsea,1/626,"1,878"
50,118,Goldeen,1/431,"8,628"
51,120,Staryu,"1/1,122","1,122"
52,122,Mr. Mime,1/945,945
