,id,name,rate,total
0,1,Bulbasaur,1/502,"9,041"
1,2,Ivysaur,1/139,278
2,4,Charmander,1/459,"15,176"
3,7,Squirtle,1/490,"10,294"
4,10,Caterpie,1/420,"23,124"
5,13,Weedle,1/398,"19,900"
6,16,Pidgey,1/515,"25,773"
7,17,Pidgeotto,1/485,485
8,19,Rattata,1/549,"36,261"
9,20,Raticate,1/257,771
10,21,Spearow,1/492,"20,677"
11,22,Fearow,1/445,445
12,23,Ekans,1/397,"17,902"
13,24,Arbok,1/487,487
14,25,Pikachu,1/420,"8,401"
15,27,Sandshrew,1/581,"7,564"
16,29,Nidoran♀,1/476,"9,526"
17,32,Nidoran♂,1/461,"8,760"
18,33,Nidorino,1/76,153
19,35,Clefairy,1/523,"6,799"
20,37,Vulpix,1/659,"6,596"
21,39,Jigglypuff,1/496,"12,921"
22,40,Wigglytuff,1/296,296
23,41,Zubat,1/501,"3,010"
24,43,Oddish,1/471,"19,820"
25,46,Paras,1/586,"12,317"
26,48,Venonat,1/437,"10,937"
27,50,Diglett,1/560,"11,205"
28,52,Meowth,1/509,"23,968"
29,53,Persian,1/285,285
30,54,Psyduck,1/455,"5,461"
31,56,Mankey,1/711,"12,102"
32,58,Growlithe,1/473,"15,619"
33,59,Arcanine,1/170,170
34,60,Poliwag,1/668,"5,344"
35,63,Abra,1/449,"12,576"
36,66,Machop,1/430,"18,491"
37,69,Bellsprout,1/414,"12,842"
38,74,Geodude,1/456,"19,632"
39,75,Graveler,1/164,328
40,77,Ponyta,1/672,"6,728"
41,79,Slowpoke,1/328,"7,217"
42,81,Magnemite,1/403,"15,323"
43,83,Farfetch'd,1/384,"3,464"
44,84,Doduo,1/616,"8,625"
45,86,Seel,1/348,348
46,88,Grimer,1/368,"13,997"
47,89,Muk,1/415,415
48,90,Shellder,1/284,569
49,92,Gastly,1/472,"10,403"
50,95,Onix,1/327,"1,309"
51,96,Drowzee,1/636,"10,184"
52,97,Hypno,1/182,182
53,100,Voltorb,1/535,"5,895"
54,102,Exeggcute,1/597,"16,716"
55,103,Exeggutor,1/175,351
56,104,Cubone,1/447,"14,764"
57,106,Hitmonlee,1/639,"6,399"
58,107,Hitmonchan,1/500,"6,505"
59,108,Lickitung,1/464,"5,105"
60,109,Koffing,1/452,"7,696"
61,111,Rhyhorn,1/600,"10,209"
62,113,Chansey,1/408,"3,673"
63,114,Tangela,1/405,"3,650"
64,115,Kangaskhan,1/372,"1,491"
65,116,Horsea,1/290,290
66,118,Goldeen,1/545,"2,181"
67,120,Staryu,1/953,953
68,122,Mr. Mime,1/934,934
69,123,Scyther,1/701,"5,613"
70,124,Jynx,1/445,"3,564"
71,125,Electabuzz,1/371,"6,688"
72,126,Magmar,1/476,"6,199"
73,127,Pinsir,1/738,"2,954"
74,128,Tauros,1/453,"3,631"
75,129,Magikarp,1/517,"4,139"
76,133,Eevee,1/531,"21,252"
77,137,Porygon,"1/1,260","2,520"
78,138,Omanyte,1/363,363
79,140,Kabuto,1/665,"1,331"
80,142,Aerodactyl,"1/1,288","1,288"
81,143,Snorlax,1/534,"6,417"
82,152,Chikorita,1/591,"13,614"
83,153,Bayleef,1/214,429
84,155,Cyndaquil,1/484,"21,796"
85,156,Quilava,1/324,648
86,158,Totodile,1/682,"6,144"
87,161,Sentret,1/365,"4,020"
88,163,Hoothoot,1/907,"2,723"
89,165,Ledyba,1/444,"4,000"
90,166,Ledian,1/109,109
91,167,Spinarak,1/399,"1,197"
92,168,Ariados,1/41,41
93,170,Chinchou,1/321,964
94,176,Togetic,1/819,"3,276"
95,177,Natu,1/563,"26,473"
96,179,Mareep,1/452,"22,620"
97,183,Marill,1/586,"4,104"
98,185,Sudowoodo,1/496,"8,440"
99,187,Hoppip,1/510,"14,795"
100,190,Aipom,1/614,"1,228"
101,191,Sunkern,1/410,"2,465"
102,193,Yanma,1/571,"9,138"
103,194,Wooper,1/521,"11,990"
