,id,name,rate,total
0,7,Squirtle,1/406,812
1,10,Caterpie,1/603,"5,435"
2,16,Pidgey,1/436,"10,044"
3,18,Pidgeot,1/21,42
4,19,Rattata,1/341,"3,756"
5,21,Spearow,1/364,"9,103"
6,23,Ekans,1/129,"231,965"
7,25,Pikachu,1/447,"1,343"
8,27,Sandshrew,1/687,"2,751"
9,29,Nidoran♀,1/723,723
10,32,Nidoran♂,1/811,"4,866"
11,35,Clefairy,1/468,"5,621"
12,37,Vulpix,1/558,"3,349"
13,39,Jigglypuff,1/708,"7,080"
14,41,Zubat,1/436,"6,541"
15,43,Oddish,1/528,"10,564"
16,46,Paras,1/422,"10,982"
17,48,Venonat,1/489,"5,875"
18,50,Diglett,1/72,72
19,52,Meowth,1/513,"12,322"
20,54,Psyduck,1/238,"1,906"
21,56,Mankey,1/611,"11,620"
22,58,Growlithe,1/691,"9,687"
23,60,Poliwag,1/345,"1,727"
24,63,Abra,1/514,"3,604"
25,66,Machop,1/452,"9,501"
26,69,Bellsprout,1/485,"2,913"
27,74,Geodude,1/682,"5,463"
28,77,Ponyta,"1/1,028","1,028"
29,79,Slowpoke,1/800,"2,401"
30,80,Slowbro,1/95,191
31,81,Magnemite,1/490,"2,453"
32,88,Grimer,1/514,"8,752"
33,90,Shellder,1/424,848
34,92,Gastly,1/733,"6,601"
35,95,Onix,1/63,"208,854"
36,98,Krabby,1/218,437
37,100,Voltorb,1/524,"4,198"
38,102,Exeggcute,1/433,"1,299"
39,106,Hitmonlee,1/614,"1,844"
40,107,Hitmonchan,1/366,"1,831"
41,108,Lickitung,1/51,"4,181"
42,109,Koffing,1/988,"6,922"
43,113,Chansey,1/71,"1,856"
44,114,Tangela,1/760,"6,080"
45,115,Kangaskhan,1/182,"1,640"
46,116,Horsea,1/468,468
47,118,Goldeen,1/736,"1,473"
48,122,Mr. Mime,1/808,808
49,123,Scyther,1/76,"2,230"
50,124,Jynx,1/351,703
51,126,Magmar,1/759,759
52,127,Pinsir,1/50,254
53,128,Tauros,1/300,"3,307"
54,129,Magikarp,1/379,"1,516"
55,130,Gyarados,1/145,"17,369"
56,131,Lapras,1/19,39
57,133,Eevee,1/377,"14,333"
58,137,Porygon,1/792,"2,376"
59,147,Dratini,1/531,"173,865"
60,161,Sentret,"1/1,261","1,261"
61,163,Hoothoot,"1/1,425","1,425"
62,165,Ledyba,"1/1,142","2,285"
63,177,Natu,"1/1,034","3,102"
64,187,Hoppip,1/293,"1,172"
65,194,Wooper,"1/1,556","1,556"
66,204,Pineco,1/72,867
67,206,Dunsparce,1/513,"350,914"
68,207,Gligar,1/53,"1,991"
69,216,Teddiursa,1/457,"5,031"
70,218,Slugma,1/722,"2,889"
71,220,Swinub,"1/1,280","2,561"
72,222,Corsola,"1/1,340","1,340"
73,225,Delibird,1/537,537
74,228,Houndour,1/332,997
75,231,Phanpy,1/814,814
76,241,Miltank,1/570,570
77,252,Treecko,"1/1,396","1,396"
78,255,Torchic,1/386,"2,317"
79,258,Mudkip,1/379,"1,139"
80,261,Poochyena,1/482,"4,340"
81,265,Wurmple,"1/1,067","4,269"
82,270,Lotad,1/697,"2,093"
83,273,Seedot,1/504,"1,514"
84,278,Wingull,1/540,"1,080"
85,283,Surskit,1/478,"4,309"
86,287,Slakoth,1/632,"6,321"
87,293,Whismur,1/486,"1,946"
88,296,Makuhita,1/746,"3,734"
89,300,Skitty,1/379,"3,034"
90,304,Aron,1/411,411
91,309,Electrike,1/508,"1,524"
92,311,Plusle,1/414,"2,487"
93,312,Minun,"1/1,113","2,227"
94,313,Volbeat,1/935,"3,741"
95,314,Illumise,1/500,"3,500"
96,316,Gulpin,1/369,"4,798"
97,318,Carvanha,1/582,"1,748"
98,320,Wailmer,1/291,875
99,322,Numel,1/650,"1,952"
100,325,Spoink,"1/1,277","1,277"
101,328,Trapinch,1/823,823
102,335,Zangoose,1/691,"4,147"
103,336,Seviper,1/922,"3,689"
104,337,Lunatone,1/781,"4,691"
105,338,Solrock,1/496,"5,461"
106,345,Lileep,1/474,474
107,355,Duskull,1/569,"4,556"
108,359,Absol,1/61,"3,001"
109,361,Snorunt,1/690,"5,522"
110,363,Spheal,1/731,"5,119"
111,370,Luvdisc,1/148,892
112,374,Beldum,1/488,488
113,387,Turtwig,1/385,"2,695"
114,390,Chimchar,1/371,"4,834"
115,393,Piplup,1/733,"4,400"
116,396,Starly,1/733,"1,467"
117,399,Bidoof,1/526,"7,364"
118,403,Shinx,1/47,"1,225"
119,418,Buizel,1/885,"1,770"
120,422,Shellos,1/428,"10,285"
121,425,Drifloon,1/729,"1,458"
122,427,Buneary,"1/1,868","1,868"
123,431,Glameow,"1/1,559","3,118"
124,434,Stunky,1/522,"4,180"
125,441,Chatot,1/321,"2,570"
126,443,Gible,1/99,198
127,451,Skorupi,1/307,"1,230"
128,456,Finneon,1/213,213
129,459,Snover,1/441,"1,325"
130,460,Abomasnow,1/108,108
131,495,Snivy,1/500,"346,989"
132,506,Lillipup,1/420,"1,681"
133,511,Pansage,1/350,"4,207"
134,513,Pansear,1/413,"1,240"
135,515,Panpour,1/810,"4,862"
136,524,Roggenrola,1/332,"4,322"
137,529,Drilbur,1/587,"2,939"
138,535,Tympole,1/355,"2,130"
139,538,Throh,1/403,"4,843"
140,539,Sawk,1/496,"5,456"
141,543,Venipede,1/380,"4,943"
142,548,Petilil,1/480,"3,363"
143,554,Darumaka,1/528,"347,442"
144,557,Dwebble,1/712,"4,276"
145,574,Gothita,1/398,"3,986"
146,577,Solosis,1/659,"2,638"
147,580,Ducklett,1/524,"3,671"
148,582,Vanillite,1/504,"8,074"
149,599,Klink,1/66,334
150,613,Cubchoo,1/386,"5,408"
151,622,Golett,1/461,"1,385"
152,631,Heatmor,1/422,"5,498"
153,632,Durant,1/533,"4,800"
154,659,Bunnelby,1/583,"1,166"
155,661,Fletchling,"1/1,018","2,036"
156,669,Flabebe,1/484,"13,087"
157,682,Spritzee,1/560,"1,121"
158,684,Swirlix,1/608,"3,042"
159,688,Binacle,1/300,901
160,692,Clauncher,1/321,963
161,694,Helioptile,1/503,"1,006"
162,708,Phantump,1/542,"2,714"
163,712,Bergmite,1/646,"1,293"
164,714,Noibat,"1/2,625","2,625"
165,722,Rowlet,1/862,862
166,725,Litten,"1/1,200","1,200"
167,728,Popplio,1/772,772
168,736,Grubbin,1/330,"1,321"
169,739,Crabrawler,1/446,"1,339"
170,741,Oricorio,1/543,"10,323"
171,747,Mareanie,1/310,"1,240"
172,751,Dewpider,1/485,971
173,753,Fomantis,1/22,44
174,761,Bounsweet,"1/1,140","4,562"
175,765,Oranguru,1/244,489
176,775,Komala,1/831,831
177,819,Skwovet,1/725,"3,625"
178,831,Wooloo,1/677,"2,032"
179,915,Lechonk,1/600,"4,802"
