,id,name,rate,total
0,1,Bulbasaur,1/710,"14,210"
1,3,Venusaur,1/93,279
2,4,Charmander,1/371,"10,760"
3,7,Squirtle,1/510,"9,695"
4,10,Caterpie,1/359,"7,553"
5,13,Weedle,1/474,"23,242"
6,16,Pidgey,1/567,"25,546"
7,18,Pidgeot,1/72,145
8,19,Rattata,1/584,"22,798"
9,25,Pikachu,1/774,"26,326"
10,35,Clefairy,1/722,"12,996"
11,41,Zubat,1/678,"13,562"
12,43,Oddish,1/611,"8,563"
13,50,Diglett,1/895,"7,164"
14,52,Meowth,1/628,"3,140"
15,58,Growlithe,1/488,"12,710"
16,66,Machop,1/542,"17,910"
17,69,Bellsprout,1/642,"4,495"
18,72,Tentacool,1/549,"18,149"
19,74,Geodude,1/785,"7,067"
20,77,Ponyta,1/396,"2,381"
21,79,Slowpoke,1/452,"10,865"
22,80,Slowbro,1/77,310
23,81,Magnemite,1/665,"35,246"
24,84,Doduo,1/775,"2,327"
25,86,Seel,1/330,"1,985"
26,92,Gastly,1/449,"12,597"
27,94,Gengar,1/122,245
28,100,Voltorb,1/445,"13,825"
29,106,Hitmonlee,1/401,"2,409"
30,107,Hitmonchan,1/788,"2,366"
31,108,Lickitung,1/97,291
32,111,Rhyhorn,1/418,"2,091"
33,114,Tangela,1/463,927
34,115,Kangaskhan,1/492,"1,971"
35,118,Goldeen,1/614,"8,596"
36,122,Mr. Mime,1/783,783
37,123,Scyther,1/36,689
38,124,Jynx,1/597,597
39,127,Pinsir,1/438,876
40,128,Tauros,1/470,"1,881"
41,129,Magikarp,1/365,"8,769"
42,133,Eevee,1/510,"8,170"
43,137,Porygon,1/285,"1,714"
44,140,Kabuto,1/440,440
45,143,Snorlax,1/570,"1,712"
46,161,Sentret,1/550,"20,916"
47,165,Ledyba,1/484,"35,395"
48,170,Chinchou,1/595,"5,956"
49,177,Natu,1/557,"13,387"
50,183,Marill,1/580,"16,846"
51,185,Sudowoodo,"1/1,007","3,022"
52,190,Aipom,1/559,"24,063"
53,191,Sunkern,1/338,"3,385"
54,193,Yanma,1/525,"3,677"
55,194,Wooper,1/439,"14,957"
56,198,Murkrow,1/688,"8,947"
57,200,Misdreavus,1/565,"9,051"
58,206,Dunsparce,1/805,"2,417"
59,207,Gligar,1/105,526
60,211,Qwilfish,1/409,"2,867"
61,227,Skarmory,1/69,"1,118"
62,234,Stantler,1/234,468
63,252,Treecko,1/650,"7,802"
64,255,Torchic,1/357,"8,223"
65,258,Mudkip,1/548,"20,825"
66,261,Poochyena,1/574,"10,906"
67,265,Wurmple,1/486,"19,454"
68,270,Lotad,1/511,"9,204"
69,273,Seedot,1/377,"7,173"
70,276,Taillow,1/567,"13,609"
71,299,Nosepass,1/269,"3,504"
72,300,Skitty,1/572,"6,867"
73,304,Aron,1/550,"33,056"
74,313,Volbeat,1/868,"3,473"
75,314,Illumise,1/738,"3,690"
76,315,Roselia,1/499,"9,498"
77,318,Carvanha,"1/1,413","1,413"
78,320,Wailmer,"1/1,068","1,068"
79,325,Spoink,1/259,"1,557"
80,328,Trapinch,1/507,"33,475"
81,333,Swablu,"1/1,026","3,080"
82,335,Zangoose,1/291,"1,459"
83,336,Seviper,1/351,"1,406"
84,338,Solrock,1/172,"1,035"
85,339,Barboach,1/781,"3,905"
86,349,Feebas,1/100,504
87,351,Castform,1/965,"7,721"
88,355,Duskull,"1/1,143","5,715"
89,370,Luvdisc,1/861,"6,028"
90,374,Beldum,1/325,"2,280"
91,387,Turtwig,"1/1,564","4,693"
92,390,Chimchar,1/434,"4,775"
93,393,Piplup,1/511,"2,559"
94,399,Bidoof,1/600,"24,001"
95,418,Buizel,1/514,"7,719"
96,431,Glameow,1/477,"26,738"
97,436,Bronzor,1/66,"2,473"
98,443,Gible,1/148,297
99,451,Skorupi,"1/2,036","4,072"
100,459,Snover,1/454,"9,535"
101,498,Tepig,1/24,"43,422"
102,506,Lillipup,1/692,"15,916"
103,519,Pidove,1/773,"11,598"
104,524,Roggenrola,1/843,"1,687"
105,527,Woobat,"1/1,715","5,145"
106,557,Dwebble,1/434,"13,471"
107,594,Alomomola,1/78,78
108,597,Ferroseed,1/340,"1,363"
109,632,Durant,1/424,"1,698"
110,659,Bunnelby,1/728,"41,512"
111,661,Fletchling,1/531,"5,319"
