,id,name,rate,total
0,1,Bulbasaur,1/288,"1,730"
1,4,Charmander,1/93,186
2,7,Squirtle,"1/1,901","3,803"
3,10,Caterpie,1/625,"26,279"
4,13,Weedle,1/170,682
5,16,Pidgey,1/528,"23,259"
6,19,Rattata,1/405,"8,524"
7,21,Spearow,1/406,"21,137"
8,23,Ekans,1/508,"6,107"
9,25,Pikachu,1/391,"2,348"
10,27,Sandshrew,1/365,"6,210"
11,29,Nidoran♀,1/634,"1,268"
12,32,Nidoran♂,1/447,"9,854"
13,35,Clefairy,1/452,"2,263"
14,37,Vulpix,1/517,"7,756"
15,39,Jigglypuff,1/404,"17,372"
16,41,Zubat,1/526,"4,737"
17,43,Oddish,1/567,"26,110"
18,46,Paras,1/498,"24,416"
19,48,Venonat,1/554,"13,302"
20,52,Meowth,1/224,"32,491"
21,54,Psyduck,1/492,"4,926"
22,56,Mankey,1/489,"25,950"
23,58,Growlithe,1/635,"22,248"
24,60,Poliwag,1/555,"5,000"
25,63,Abra,1/567,"10,781"
26,66,Machop,1/552,"140,826"
27,69,Bellsprout,1/369,"2,958"
28,72,Tentacool,1/717,717
29,74,Geodude,1/450,"11,721"
30,77,Ponyta,1/291,"2,040"
31,79,Slowpoke,1/534,"5,343"
32,80,Slowbro,1/186,373
33,81,Magnemite,1/531,"27,618"
34,88,Grimer,1/539,"20,506"
35,90,Shellder,"1/1,284","1,284"
36,92,Gastly,1/607,"24,914"
37,94,Gengar,1/78,78
38,95,Onix,1/70,"1,488"
39,96,Drowzee,1/809,"1,619"
40,100,Voltorb,1/563,"12,400"
41,102,Exeggcute,1/370,"3,700"
42,106,Hitmonlee,1/860,"4,300"
43,107,Hitmonchan,1/412,"4,125"
44,108,Lickitung,1/59,"5,700"
45,109,Koffing,1/487,"15,592"
46,111,Rhyhorn,1/389,"8,187"
47,113,Chansey,1/68,"4,068"
48,114,Tangela,1/534,"5,348"
49,115,Kangaskhan,1/174,"1,046"
50,116,Horsea,1/843,843
51,118,Goldeen,1/707,"2,828"
52,122,Mr. Mime,1/858,858
53,123,Scyther,1/53,"4,981"
54,124,Jynx,1/368,"1,842"
55,125,Electabuzz,1/546,546
56,126,Magmar,"1/1,601","1,601"
57,127,Pinsir,1/364,364
58,128,Tauros,1/501,"2,507"
59,129,Magikarp,1/375,"3,375"
60,131,Lapras,1/73,73
61,133,Eevee,1/517,"24,312"
62,137,Porygon,1/431,"5,183"
63,143,Snorlax,1/463,927
64,165,Ledyba,1/551,"6,621"
65,170,Chinchou,1/548,"4,389"
66,177,Natu,1/341,"2,390"
67,183,Marill,1/601,"3,009"
68,190,Aipom,1/853,"8,533"
69,193,Yanma,"1/1,498","1,498"
70,200,Misdreavus,1/322,"1,613"
71,203,Girafarig,1/416,"5,003"
72,206,Dunsparce,1/485,"1,457"
73,209,Snubbull,1/608,"2,433"
74,211,Qwilfish,1/618,618
75,215,Sneasel,1/62,"1,885"
76,216,Teddiursa,1/668,"6,018"
77,218,Slugma,1/468,"5,151"
78,220,Swinub,1/772,"4,634"
79,222,Corsola,1/883,883
80,228,Houndour,1/496,"6,953"
81,229,Houndoom,1/44,44
82,252,Treecko,1/508,"9,156"
83,255,Torchic,1/486,"5,832"
84,258,Mudkip,1/468,"6,090"
85,261,Poochyena,1/474,"1,898"
86,263,Zigzagoon,1/543,"7,070"
87,265,Wurmple,1/655,"12,451"
88,270,Lotad,1/418,"6,690"
89,276,Taillow,1/477,"1,910"
90,280,Ralts,1/486,"11,674"
91,287,Slakoth,1/498,"2,491"
92,296,Makuhita,1/519,"2,076"
93,304,Aron,1/97,291
94,307,Meditite,1/500,"5,000"
95,308,Medicham,1/60,60
96,309,Electrike,1/511,"8,693"
97,313,Volbeat,1/478,"2,870"
98,314,Illumise,1/418,"2,508"
99,316,Gulpin,1/312,"1,874"
100,320,Wailmer,1/662,"4,638"
101,322,Numel,1/411,"1,235"
102,325,Spoink,1/580,"1,742"
103,328,Trapinch,1/458,"5,501"
104,331,Cacnea,1/281,"4,499"
105,333,Swablu,1/512,"13,841"
106,335,Zangoose,1/605,"3,632"
107,336,Seviper,1/364,"3,280"
108,337,Lunatone,1/427,"3,419"
109,338,Solrock,1/569,"3,985"
110,341,Corphish,1/286,"1,145"
111,355,Duskull,1/539,"14,558"
112,359,Absol,1/63,510
113,363,Spheal,1/476,"1,905"
114,370,Luvdisc,1/386,"5,800"
115,371,Bagon,1/471,471
116,387,Turtwig,1/502,"2,008"
117,390,Chimchar,1/410,"3,285"
118,393,Piplup,1/416,"1,666"
119,396,Starly,1/324,"2,917"
120,399,Bidoof,1/524,"2,098"
