,id,name,rate,total
0,1,Bulbasaur,1/466,"13,526"
1,4,Charmander,1/578,"13,298"
2,6,Charizard,1/112,112
3,7,Squirtle,1/680,"9,521"
4,10,Caterpie,1/456,"5,019"
5,21,Spearow,1/494,"8,402"
6,23,Ekans,1/479,"8,143"
7,25,Pikachu,"1/1,111","7,778"
8,35,Clefairy,1/890,"2,670"
9,43,Oddish,1/827,"8,270"
10,48,Venonat,1/544,"3,269"
11,54,Psyduck,1/737,"5,161"
12,56,Mankey,"1/1,319","2,639"
13,58,Growlithe,"1/1,109","2,219"
14,60,Poliwag,1/386,"3,864"
15,69,Bellsprout,1/866,"5,199"
16,77,Ponyta,1/250,"1,254"
17,81,Magnemite,1/600,"123,171"
18,84,Doduo,1/374,"2,622"
19,88,Grimer,1/533,"64,515"
20,95,Onix,1/238,238
21,100,Voltorb,1/539,"153,319"
22,111,Rhyhorn,1/479,"4,314"
23,114,Tangela,1/270,270
24,115,Kangaskhan,1/481,"2,888"
25,124,Jynx,1/290,"1,452"
26,125,Electabuzz,1/514,"191,519"
27,128,Tauros,1/561,"1,123"
28,131,Lapras,1/47,765
29,133,Eevee,1/598,"12,576"
30,137,Porygon,1/514,"77,126"
31,138,Omanyte,"1/1,098","1,098"
32,142,Aerodactyl,1/62,439
33,147,Dratini,1/436,"1,747"
34,163,Hoothoot,1/768,"13,066"
35,165,Ledyba,1/250,"2,258"
36,167,Spinarak,1/534,"9,621"
37,177,Natu,1/460,"9,218"
38,183,Marill,1/575,"7,483"
39,185,Sudowoodo,1/258,"1,035"
40,191,Sunkern,"1/1,442","2,885"
41,200,Misdreavus,1/554,"5,544"
42,209,Snubbull,1/358,"6,449"
43,216,Teddiursa,"1/1,882","3,764"
44,218,Slugma,1/387,"1,549"
45,225,Delibird,1/995,995
46,234,Stantler,1/332,"1,664"
47,252,Treecko,1/612,"3,673"
48,255,Torchic,1/459,"3,675"
49,258,Mudkip,1/818,"11,464"
50,261,Poochyena,1/353,"3,536"
51,273,Seedot,1/470,"8,001"
52,276,Taillow,1/571,"9,715"
53,278,Wingull,1/379,"6,067"
54,287,Slakoth,1/653,"18,310"
55,296,Makuhita,1/443,"2,217"
56,300,Skitty,1/574,"4,599"
57,304,Aron,1/751,"9,763"
58,307,Meditite,1/496,993
59,311,Plusle,1/956,"4,784"
60,312,Minun,1/481,"4,818"
61,313,Volbeat,1/846,"1,693"
62,314,Illumise,1/538,"2,152"
63,318,Carvanha,1/509,"1,019"
64,320,Wailmer,1/57,173
65,335,Zangoose,1/459,"1,836"
66,336,Seviper,"1/1,019","1,019"
67,337,Lunatone,1/737,737
68,338,Solrock,1/312,938
69,339,Barboach,1/435,"6,537"
70,345,Lileep,"1/1,127","1,127"
71,347,Anorith,1/867,867
72,349,Feebas,1/72,"1,664"
73,351,Castform,1/521,"8,351"
74,353,Shuppet,1/957,"1,914"
75,387,Turtwig,1/460,"13,359"
76,390,Chimchar,1/532,"14,908"
77,393,Piplup,1/475,"9,981"
78,399,Bidoof,1/511,"12,283"
79,408,Cranidos,1/148,296
80,410,Shieldon,1/97,97
81,431,Glameow,1/785,"6,284"
82,436,Bronzor,1/87,435
83,449,Hippopotas,1/621,"2,485"
84,453,Croagunk,1/856,"11,991"
85,460,Abomasnow,1/4,4
86,506,Lillipup,1/628,"12,565"
87,519,Pidove,1/596,"17,902"
88,527,Woobat,"1/1,316","2,632"
89,538,Throh,1/437,874
90,539,Sawk,1/376,"1,505"
91,557,Dwebble,1/805,"8,863"
92,568,Trubbish,1/525,"77,241"
93,572,Minccino,1/384,"7,683"
94,597,Ferroseed,1/187,"1,127"
95,632,Durant,1/260,"1,822"
96,659,Bunnelby,1/659,"3,297"
97,661,Fletchling,1/394,"3,553"
