,id,name,rate,total
0,10,Caterpie,1/383,"3,835"
1,19,Rattata,1/444,"25,800"
2,21,Spearow,"1/1,315","1,315"
3,23,Ekans,1/587,587
4,25,Pikachu,1/533,"8,000"
5,29,Nidoran♀,1/534,"8,552"
6,32,Nidoran♂,1/662,"8,618"
7,35,Clefairy,1/559,"135,359"
8,37,Vulpix,1/518,"2,593"
9,39,Jigglypuff,1/532,"147,545"
10,41,Zubat,1/344,"1,720"
11,43,Oddish,1/292,"1,463"
12,48,Venonat,1/659,"2,637"
13,54,Psyduck,1/467,"3,736"
14,56,Mankey,1/715,"2,147"
15,58,Growlithe,1/850,"5,103"
16,59,Arcanine,1/224,224
17,60,Poliwag,1/345,"2,767"
18,63,Abra,1/554,"4,432"
19,81,Magnemite,1/431,"7,331"
20,92,Gastly,1/429,"2,149"
21,96,Drowzee,1/320,"2,886"
22,100,Voltorb,1/575,"5,756"
23,104,Cubone,1/245,"1,472"
24,109,Koffing,1/305,"2,752"
25,113,Chansey,1/116,116
26,123,Scyther,1/89,179
27,127,Pinsir,1/216,433
28,128,Tauros,1/676,676
29,129,Magikarp,1/504,"2,524"
30,133,Eevee,1/493,"164,400"
31,138,Omanyte,1/388,388
32,140,Kabuto,1/421,421
33,147,Dratini,1/431,431
34,152,Chikorita,1/368,"4,784"
35,155,Cyndaquil,1/446,"4,019"
36,158,Totodile,1/433,"3,471"
37,161,Sentret,1/654,654
38,183,Marill,1/515,"93,279"
39,185,Sudowoodo,1/466,"1,400"
40,194,Wooper,1/391,"4,693"
41,198,Murkrow,1/533,"10,133"
42,204,Pineco,1/39,39
43,206,Dunsparce,1/434,869
44,209,Snubbull,1/489,"163,006"
45,216,Teddiursa,1/719,"1,439"
46,220,Swinub,"1/1,025","2,051"
47,228,Houndour,1/499,"20,493"
48,241,Miltank,1/700,700
49,261,Poochyena,1/356,"9,973"
50,263,Zigzagoon,"1/1,832","1,832"
51,265,Wurmple,1/501,"11,543"
52,270,Lotad,1/404,"1,619"
53,273,Seedot,1/989,989
54,276,Taillow,1/614,"6,149"
55,280,Ralts,1/490,"85,331"
56,300,Skitty,1/262,"2,623"
57,304,Aron,1/508,"9,669"
58,311,Plusle,1/629,"9,443"
59,312,Minun,1/415,"9,564"
60,318,Carvanha,1/435,"20,474"
61,325,Spoink,1/381,"11,818"
62,333,Swablu,1/997,"1,995"
63,335,Zangoose,1/450,450
64,336,Seviper,1/379,379
65,337,Lunatone,1/291,291
66,351,Castform,"1/1,081","1,081"
67,353,Shuppet,1/942,942
68,387,Turtwig,1/630,"2,522"
69,390,Chimchar,"1/2,678","2,678"
70,393,Piplup,1/290,"2,906"
71,418,Buizel,1/178,"1,249"
72,427,Buneary,1/592,"9,473"
73,431,Glameow,1/573,"18,919"
74,443,Gible,1/105,210
75,453,Croagunk,1/271,"2,444"
76,504,Patrat,1/703,"3,517"
77,597,Ferroseed,1/561,"2,246"
78,632,Durant,1/287,862
79,659,Bunnelby,1/628,"16,329"
80,661,Fletchling,1/494,"5,933"
