,id,name,rate,total
0,1,Bulbasaur,1/446,"47,760"
1,4,Charmander,1/610,"47,610"
2,7,Squirtle,1/440,"47,579"
3,16,Pidgey,1/422,"4,222"
4,18,Pidgeot,1/13,27
5,19,Rattata,1/554,"29,949"
6,25,Pikachu,1/560,"58,263"
7,27,Sandshrew,1/204,"1,639"
8,29,Nidoran♀,"1/1,508","1,508"
9,32,Nidoran♂,1/761,"1,522"
10,37,Vulpix,1/44,44
11,41,Zubat,1/566,"5,668"
12,43,Oddish,1/648,"8,436"
13,58,Growlithe,1/670,"2,010"
14,63,Abra,1/432,"1,297"
15,66,Machop,1/434,"9,563"
16,69,Bellsprout,1/504,"9,587"
17,72,Tentacool,"1/2,929","2,929"
18,74,Geodude,1/547,"1,641"
19,77,Ponyta,1/588,"4,122"
20,79,Slowpoke,1/538,"29,591"
21,81,Magnemite,1/478,"1,435"
22,84,Doduo,1/364,"4,741"
23,88,Grimer,1/747,"4,482"
24,90,Shellder,1/409,409
25,92,Gastly,1/408,"3,679"
26,95,Onix,1/64,"14,490"
27,98,Krabby,1/355,"5,335"
28,100,Voltorb,1/430,"7,317"
29,102,Exeggcute,1/462,"1,388"
30,104,Cubone,1/769,"2,307"
31,107,Hitmonchan,1/141,705
32,109,Koffing,1/708,"4,253"
33,111,Rhyhorn,1/409,"3,272"
34,113,Chansey,1/69,"27,537"
35,115,Kangaskhan,1/132,"1,595"
36,116,Horsea,1/680,"3,401"
37,118,Goldeen,1/525,"4,731"
38,120,Staryu,"1/1,411","1,411"
39,125,Electabuzz,1/149,298
40,128,Tauros,1/259,"1,038"
41,129,Magikarp,1/515,"30,938"
42,130,Gyarados,1/171,171
43,133,Eevee,1/465,"32,576"
44,137,Porygon,1/366,"1,099"
45,142,Aerodactyl,1/48,48
46,143,Snorlax,1/595,"13,690"
47,163,Hoothoot,1/367,"1,836"
48,165,Ledyba,1/300,"7,823"
49,167,Spinarak,1/570,"57,626"
50,170,Chinchou,1/545,"14,732"
51,177,Natu,1/464,"31,148"
52,183,Marill,1/656,"7,226"
53,187,Hoppip,1/529,"12,711"
54,190,Aipom,1/544,"31,056"
55,191,Sunkern,1/446,"3,573"
56,193,Yanma,1/553,"17,162"
57,194,Wooper,1/481,"1,444"
58,198,Murkrow,1/374,"1,496"
59,202,Wobbuffet,1/146,146
60,203,Girafarig,1/563,"1,689"
61,204,Pineco,1/90,544
62,207,Gligar,1/177,177
63,209,Snubbull,1/504,"8,570"
64,211,Qwilfish,1/250,500
65,213,Shuckle,1/325,651
66,216,Teddiursa,1/247,742
67,218,Slugma,1/163,163
68,222,Corsola,1/502,502
69,231,Phanpy,1/441,"1,323"
70,234,Stantler,1/383,383
71,237,Hitmontop,1/790,"1,581"
72,241,Miltank,1/611,611
73,252,Treecko,1/827,"4,136"
74,255,Torchic,1/284,"4,548"
75,258,Mudkip,1/472,"9,920"
76,263,Zigzagoon,1/455,"18,691"
77,270,Lotad,1/548,"7,685"
78,273,Seedot,1/503,"3,525"
79,285,Shroomish,1/429,"1,287"
80,287,Slakoth,1/215,645
81,296,Makuhita,1/313,"3,758"
82,300,Skitty,1/750,"6,755"
83,304,Aron,1/507,"13,186"
84,307,Meditite,1/261,522
85,312,Minun,1/599,"1,198"
86,313,Volbeat,1/364,364
87,320,Wailmer,"1/3,094","3,094"
88,322,Numel,1/587,"58,123"
89,333,Swablu,1/254,"3,811"
90,335,Zangoose,1/602,"1,204"
91,336,Seviper,"1/1,504","1,504"
92,337,Lunatone,1/506,"17,234"
93,338,Solrock,1/506,"38,523"
94,339,Barboach,1/976,"3,906"
95,341,Corphish,1/394,"1,182"
96,349,Feebas,1/62,"1,188"
97,351,Castform,1/552,"3,869"
98,355,Duskull,1/588,"1,177"
99,363,Spheal,1/559,559
100,366,Clamperl,1/47,190
101,370,Luvdisc,1/213,"1,067"
102,374,Beldum,1/567,"1,135"
103,387,Turtwig,1/379,"2,279"
104,390,Chimchar,1/785,"2,355"
105,393,Piplup,1/530,"1,590"
106,399,Bidoof,1/652,"59,400"
107,410,Shieldon,1/105,105
108,412,Burmy,1/843,843
109,425,Drifloon,"1/1,086","1,086"
110,427,Buneary,1/544,"6,529"
111,428,Lopunny,1/289,289
112,431,Glameow,1/325,"6,191"
113,436,Bronzor,1/50,"1,811"
114,443,Gible,1/102,924
115,449,Hippopotas,1/305,611
116,451,Skorupi,1/681,"2,043"
117,453,Croagunk,1/876,"3,506"
118,506,Lillipup,1/577,"20,195"
119,519,Pidove,1/575,"31,070"
120,524,Roggenrola,1/220,220
121,527,Woobat,"1/1,116","1,116"
122,535,Tympole,1/558,"1,117"
123,538,Throh,1/310,"1,241"
124,539,Sawk,1/240,963
125,546,Cottonee,1/518,518
126,557,Dwebble,1/403,403
127,564,Tirtouga,1/471,471
128,566,Archen,1/285,285
129,568,Trubbish,1/530,530
130,572,Minccino,1/458,916
131,588,Karrablast,1/234,469
132,597,Ferroseed,1/126,380
133,613,Cubchoo,1/252,504
134,616,Shelmet,1/501,501
135,618,Stunfisk,1/59,828
136,631,Heatmor,1/323,323
137,632,Durant,1/523,"1,571"
138,661,Fletchling,1/536,"4,290"
139,734,Yungoos,1/398,"13,949"
140,759,Stufful,1/450,"4,057"
