,id,name,rate,total
0,16,Pidgey,1/554,"9,434"
1,19,Rattata,1/485,"5,827"
2,25,Pikachu,1/414,"11,618"
3,27,Sandshrew,1/348,"3,134"
4,29,Nidoran♀,1/412,"2,477"
5,32,Nidoran♂,1/312,"2,497"
6,37,Vulpix,1/33,66
7,41,Zubat,1/487,"7,807"
8,43,Oddish,1/777,"13,988"
9,58,Growlithe,1/380,"3,807"
10,63,Abra,1/404,"2,022"
11,66,Machop,1/529,"13,245"
12,69,Bellsprout,1/453,"14,527"
13,72,Tentacool,1/628,"4,399"
14,74,Geodude,1/563,"3,378"
15,77,Ponyta,1/560,"6,726"
16,79,Slowpoke,1/562,"29,835"
17,81,Magnemite,1/333,"2,000"
18,84,Doduo,"1/1,264","6,321"
19,88,Grimer,1/955,"7,641"
20,90,Shellder,1/617,617
21,92,Gastly,1/806,"6,451"
22,94,Gengar,1/22,67
23,95,Onix,1/47,376
24,98,Krabby,1/442,"28,767"
25,100,Voltorb,1/414,"12,032"
26,102,Exeggcute,"1/1,257","2,515"
27,103,Exeggutor,1/68,68
28,104,Cubone,1/442,"3,980"
29,106,Hitmonlee,1/441,"1,324"
30,107,Hitmonchan,1/457,"1,373"
31,109,Koffing,1/461,"6,924"
32,111,Rhyhorn,1/762,"6,865"
33,113,Chansey,1/66,"1,588"
34,114,Tangela,1/228,"1,140"
35,115,Kangaskhan,1/104,"5,023"
36,116,Horsea,1/699,"4,897"
37,118,Goldeen,1/601,"8,425"
38,120,Staryu,1/415,"31,967"
39,122,Mr. Mime,1/139,278
40,125,Electabuzz,1/108,435
41,126,Magmar,1/168,168
42,128,Tauros,1/367,"1,836"
43,129,Magikarp,1/593,"8,898"
44,130,Gyarados,1/77,387
45,133,Eevee,1/592,"16,581"
46,137,Porygon,1/554,"2,770"
47,140,Kabuto,1/181,362
48,142,Aerodactyl,1/36,145
49,147,Dratini,"1/1,071","1,071"
50,163,Hoothoot,1/421,"5,059"
51,165,Ledyba,1/474,"14,702"
52,167,Spinarak,1/666,"2,667"
53,170,Chinchou,1/885,"22,148"
54,177,Natu,1/595,"11,308"
55,183,Marill,1/410,"16,005"
56,187,Hoppip,1/502,"24,634"
57,190,Aipom,1/418,"5,864"
58,191,Sunkern,1/504,"9,075"
59,193,Yanma,1/513,"28,250"
60,194,Wooper,1/424,"2,970"
61,198,Murkrow,1/528,"3,702"
62,203,Girafarig,1/482,"2,412"
63,204,Pineco,1/46,602
64,207,Gligar,1/32,459
65,209,Snubbull,1/512,"13,826"
66,211,Qwilfish,1/646,"34,263"
67,213,Shuckle,1/470,"1,410"
68,216,Teddiursa,1/355,"1,776"
69,218,Slugma,1/324,324
70,222,Corsola,1/404,"1,617"
71,226,Mantine,1/407,"34,194"
72,228,Houndour,1/197,985
73,231,Phanpy,"1/1,475","2,951"
74,234,Stantler,"1/1,130","1,130"
75,237,Hitmontop,1/961,"2,883"
76,241,Miltank,1/488,"1,465"
77,246,Larvitar,1/224,224
78,252,Treecko,1/564,"10,720"
79,255,Torchic,1/524,"10,487"
80,258,Mudkip,1/372,"31,322"
81,261,Poochyena,1/810,810
82,263,Zigzagoon,1/551,"37,526"
83,270,Lotad,1/481,"14,921"
84,273,Seedot,1/802,"4,815"
85,285,Shroomish,1/342,"2,740"
86,296,Makuhita,1/456,"6,853"
87,300,Skitty,1/576,"13,260"
88,304,Aron,1/487,"24,399"
89,307,Meditite,1/289,867
90,311,Plusle,1/240,"2,409"
91,312,Minun,"1/1,203","2,406"
92,314,Illumise,1/331,993
93,315,Roselia,1/587,"3,524"
94,320,Wailmer,1/531,"5,845"
95,328,Trapinch,1/717,"2,152"
96,333,Swablu,1/579,"6,369"
97,335,Zangoose,"1/1,217","3,651"
98,336,Seviper,1/552,"2,208"
99,337,Lunatone,1/781,"1,562"
100,338,Solrock,"1/2,179","2,179"
101,339,Barboach,1/788,"9,460"
102,341,Corphish,1/366,"2,201"
103,347,Anorith,1/281,843
104,349,Feebas,1/45,"2,979"
105,351,Castform,1/656,"7,877"
106,353,Shuppet,1/333,"2,334"
107,355,Duskull,"1/1,042","3,127"
108,363,Spheal,1/926,926
109,366,Clamperl,1/62,"34,542"
110,370,Luvdisc,1/711,"2,133"
111,374,Beldum,1/487,"2,922"
112,387,Turtwig,1/486,"2,430"
113,390,Chimchar,1/892,"2,677"
114,393,Piplup,1/891,"2,675"
115,396,Starly,1/614,"28,886"
116,399,Bidoof,1/507,"28,948"
117,412,Burmy,"1/1,714","1,714"
118,425,Drifloon,1/378,"1,136"
119,427,Buneary,1/426,"14,088"
120,428,Lopunny,1/171,686
121,431,Glameow,1/508,"13,213"
122,436,Bronzor,1/66,"3,514"
123,443,Gible,1/170,"3,243"
124,449,Hippopotas,1/358,"1,075"
125,451,Skorupi,1/411,"3,700"
126,453,Croagunk,1/535,"5,885"
127,504,Patrat,1/708,"1,416"
128,506,Lillipup,1/573,"42,474"
129,519,Pidove,1/579,"29,553"
130,527,Woobat,1/256,"2,309"
131,531,Audino,1/498,498
132,535,Tympole,"1/1,130","2,261"
133,538,Throh,1/183,"1,831"
134,539,Sawk,"1/1,113","2,227"
135,546,Cottonee,1/315,945
136,564,Tirtouga,1/223,"1,567"
137,568,Trubbish,"1/1,079","1,079"
138,572,Minccino,1/440,"2,200"
139,588,Karrablast,1/179,899
140,590,Foongus,1/605,"3,026"
141,597,Ferroseed,1/331,993
142,613,Cubchoo,"1/1,088","1,088"
143,618,Stunfisk,1/66,"1,669"
144,627,Rufflet,1/118,473
145,632,Durant,"1/1,451","2,902"
146,661,Fletchling,1/403,"6,454"
147,667,Litleo,1/626,626
148,688,Binacle,1/345,"1,037"
149,734,Yungoos,1/427,"29,936"
150,759,Stufful,1/468,"8,432"
