,id,name,rate,total
0,1,Bulbasaur,1/538,"143,810"
1,4,Charmander,1/609,"2,438"
2,7,Squirtle,"1/1,009","2,018"
3,10,Caterpie,1/385,"1,925"
4,13,Weedle,1/416,"2,913"
5,16,Pidgey,"1/1,123","1,123"
6,19,Rattata,1/821,"4,927"
7,23,Ekans,1/369,"1,847"
8,25,Pikachu,1/460,"45,098"
9,29,Nidoran♀,1/282,"2,258"
10,32,Nidoran♂,1/432,"2,160"
11,35,Clefairy,1/675,675
12,37,Vulpix,1/399,"3,994"
13,39,Jigglypuff,1/458,"23,363"
14,41,Zubat,1/514,"3,084"
15,43,Oddish,1/434,"3,044"
16,48,Venonat,1/970,"1,941"
17,50,Diglett,1/620,"1,241"
18,52,Meowth,1/337,"2,699"
19,54,Psyduck,"1/1,435","2,871"
20,56,Mankey,"1/2,320","2,320"
21,58,Growlithe,1/594,"8,915"
22,63,Abra,1/482,"1,447"
23,66,Machop,1/308,"3,388"
24,69,Bellsprout,"1/1,228","2,456"
25,72,Tentacool,1/288,"2,016"
26,74,Geodude,1/301,"1,506"
27,77,Ponyta,"1/1,473","1,473"
28,81,Magnemite,1/606,"1,213"
29,84,Doduo,1/489,979
30,86,Seel,1/406,"1,625"
31,90,Shellder,1/776,"3,104"
32,92,Gastly,1/374,"1,870"
33,95,Onix,1/82,"1,157"
34,96,Drowzee,1/381,763
35,100,Voltorb,1/470,"2,354"
36,102,Exeggcute,1/518,"182,602"
37,104,Cubone,1/118,"44,798"
38,108,Lickitung,1/29,59
39,109,Koffing,1/516,"2,582"
40,111,Rhyhorn,1/376,"5,648"
41,113,Chansey,1/37,113
42,116,Horsea,1/583,"1,167"
43,120,Staryu,1/747,747
44,123,Scyther,1/60,"12,017"
45,126,Magmar,1/718,"2,874"
46,127,Pinsir,1/348,"1,392"
47,128,Tauros,1/221,442
48,129,Magikarp,1/420,"3,360"
49,131,Lapras,1/20,20
50,133,Eevee,1/350,"8,067"
51,138,Omanyte,1/801,"1,602"
52,140,Kabuto,1/976,976
53,147,Dratini,1/551,"48,010"
54,152,Chikorita,1/397,"3,180"
55,155,Cyndaquil,1/517,"90,514"
56,158,Totodile,1/780,"1,561"
57,161,Sentret,1/631,"2,527"
58,165,Ledyba,1/285,855
59,170,Chinchou,1/384,"1,152"
60,177,Natu,1/510,"3,065"
61,179,Mareep,1/591,591
62,183,Marill,1/206,206
63,185,Sudowoodo,"1/1,562","1,562"
64,190,Aipom,1/424,"2,123"
65,191,Sunkern,1/419,"1,677"
66,193,Yanma,1/393,"3,151"
67,198,Murkrow,1/334,"3,684"
68,200,Misdreavus,1/554,"2,219"
69,204,Pineco,1/15,15
70,206,Dunsparce,1/616,"1,232"
71,207,Gligar,1/96,387
72,209,Snubbull,1/558,"2,792"
73,211,Qwilfish,1/587,587
74,213,Shuckle,1/458,"2,750"
75,215,Sneasel,1/62,435
76,216,Teddiursa,1/774,"1,549"
77,220,Swinub,1/407,"2,850"
78,227,Skarmory,1/73,"1,247"
79,228,Houndour,1/478,"6,698"
80,234,Stantler,1/294,884
81,252,Treecko,1/502,"4,020"
82,255,Torchic,1/395,"2,374"
83,258,Mudkip,1/362,"3,627"
84,261,Poochyena,1/977,"1,955"
85,263,Zigzagoon,1/386,"1,933"
86,265,Wurmple,1/561,"181,270"
87,270,Lotad,1/898,898
88,273,Seedot,"1/1,019","6,115"
89,276,Taillow,"1/2,093","2,093"
90,278,Wingull,1/289,"1,446"
91,280,Ralts,1/526,526
92,287,Slakoth,1/158,158
93,296,Makuhita,1/527,"2,635"
94,300,Skitty,1/633,"2,533"
95,302,Sableye,1/623,"1,246"
96,304,Aron,1/411,"1,647"
97,307,Meditite,1/299,"2,093"
98,309,Electrike,1/286,"1,720"
99,311,Plusle,1/496,"3,477"
100,312,Minun,1/563,"2,815"
101,313,Volbeat,1/606,606
102,315,Roselia,1/665,"2,660"
103,318,Carvanha,"1/1,350","1,350"
104,320,Wailmer,"1/1,214","1,214"
105,325,Spoink,1/396,"1,188"
106,333,Swablu,"1/1,085","1,085"
107,336,Seviper,1/425,425
108,337,Lunatone,1/288,288
109,339,Barboach,1/738,"3,690"
110,343,Baltoy,1/885,"2,655"
111,345,Lileep,1/600,"1,201"
112,347,Anorith,1/271,815
113,349,Feebas,1/48,194
114,351,Castform,"1/1,934","13,540"
115,353,Shuppet,1/684,"2,054"
116,355,Duskull,1/318,"1,594"
117,370,Luvdisc,1/408,816
118,374,Beldum,1/313,313
119,387,Turtwig,1/365,"8,777"
120,390,Chimchar,1/361,"3,979"
121,393,Piplup,1/526,"148,052"
122,401,Kricketot,1/603,"1,810"
123,425,Drifloon,1/520,520
124,427,Buneary,1/554,"2,772"
125,436,Bronzor,1/124,124
126,449,Hippopotas,1/165,660
127,451,Skorupi,1/119,119
128,453,Croagunk,1/377,"1,508"
129,459,Snover,1/214,429
130,504,Patrat,1/479,"3,834"
131,506,Lillipup,1/462,"4,160"
132,519,Pidove,1/454,"2,728"
133,524,Roggenrola,1/145,436
134,527,Woobat,1/543,543
135,557,Dwebble,1/963,963
136,572,Minccino,1/948,948
