,id,name,rate,total
0,13,Weedle,1/372,"1,116"
1,15,Beedrill,1/17,17
2,16,Pidgey,1/917,"1,834"
3,23,Ekans,1/156,627
4,25,Pikachu,"1/1,033","1,033"
5,27,Sandshrew,1/267,"1,335"
6,29,Nidoran♀,1/227,909
7,32,Nidoran♂,"1/1,209","1,209"
8,35,Clefairy,1/257,772
9,37,Vulpix,1/386,"2,321"
10,48,Venonat,1/355,711
11,52,Meowth,1/215,"1,078"
12,54,Psyduck,1/77,155
13,58,Growlithe,1/141,848
14,63,Abra,1/591,"71,596"
15,74,Geodude,1/269,538
16,77,Ponyta,1/62,"4,503"
17,79,Slowpoke,1/482,"42,463"
18,80,Slowbro,1/44,44
19,81,Magnemite,1/468,937
20,84,Doduo,1/147,591
21,95,Onix,1/36,36
22,96,Drowzee,1/508,"21,845"
23,102,Exeggcute,1/454,"43,217"
24,108,Lickitung,1/41,906
25,109,Koffing,1/238,"3,105"
26,115,Kangaskhan,1/50,403
27,123,Scyther,1/49,197
28,133,Eevee,1/476,"1,429"
29,152,Chikorita,1/187,"1,312"
30,155,Cyndaquil,1/207,"1,247"
31,158,Totodile,1/332,"1,330"
32,163,Hoothoot,1/919,919
33,167,Spinarak,1/971,971
34,170,Chinchou,1/812,"1,625"
35,176,Togetic,1/140,420
36,179,Mareep,1/405,810
37,190,Aipom,1/552,"1,105"
38,194,Wooper,1/396,"2,772"
39,200,Misdreavus,1/33,33
40,203,Girafarig,1/596,"21,478"
41,204,Pineco,1/118,711
42,207,Gligar,1/17,35
43,216,Teddiursa,1/484,969
44,220,Swinub,1/341,682
45,237,Hitmontop,1/314,"1,571"
46,263,Zigzagoon,1/79,"1,274"
47,265,Wurmple,1/588,"1,177"
48,270,Lotad,1/454,"1,363"
49,273,Seedot,"1/1,859","1,859"
50,278,Wingull,1/135,812
51,280,Ralts,1/610,"43,315"
52,285,Shroomish,1/348,"1,741"
53,287,Slakoth,1/704,704
54,296,Makuhita,1/268,806
55,307,Meditite,1/548,"85,572"
56,308,Medicham,1/33,33
57,309,Electrike,1/200,600
58,310,Manectric,1/75,75
59,314,Illumise,1/219,219
60,316,Gulpin,1/455,910
61,325,Spoink,1/476,"42,864"
62,333,Swablu,1/767,"2,301"
63,337,Lunatone,1/87,175
64,338,Solrock,1/459,459
65,339,Barboach,1/378,378
66,343,Baltoy,1/89,89
67,347,Anorith,1/136,136
68,353,Shuppet,1/921,921
69,354,Banette,1/87,87
70,359,Absol,1/19,19
71,373,Salamence,1/10,10
72,396,Starly,1/515,"1,030"
73,399,Bidoof,1/918,918
74,427,Buneary,1/519,"1,557"
75,428,Lopunny,1/41,123
76,431,Glameow,1/460,921
77,436,Bronzor,1/50,"5,455"
78,453,Croagunk,1/582,"1,748"
79,456,Finneon,1/772,772
80,501,Oshawott,1/255,510
81,506,Lillipup,1/981,"1,963"
82,519,Pidove,1/323,"1,617"
83,524,Roggenrola,1/142,142
84,527,Woobat,1/590,"1,180"
85,529,Drilbur,1/318,318
86,538,Throh,1/90,181
87,539,Sawk,1/352,352
88,548,Petilil,1/805,805
89,559,Scraggy,1/447,447
90,577,Solosis,1/371,"21,561"
91,588,Karrablast,1/424,424
92,590,Foongus,1/307,"1,537"
93,592,Frillish,1/246,246
94,605,Elgyem,1/581,"21,497"
95,613,Cubchoo,1/653,653
96,618,Stunfisk,1/140,421
97,682,Spritzee,1/292,292
98,702,Dedenne,"1/1,071","1,071"
99,751,Dewpider,1/376,752
100,753,Fomantis,1/263,791
101,765,Oranguru,1/89,179
102,915,Lechonk,1/291,"2,911"
