,id,name,rate,total
0,10,Caterpie,1/478,"3,350"
1,19,Rattata,1/418,"9,204"
2,21,Spearow,1/354,"1,771"
3,23,Ekans,1/180,721
4,25,Pikachu,1/627,"6,898"
5,29,Nidoran♀,1/511,"122,666"
6,32,Nidoran♂,1/521,"122,616"
7,37,Vulpix,"1/1,591","1,591"
8,39,Jigglypuff,1/840,"4,202"
9,41,Zubat,1/962,"1,924"
10,43,Oddish,1/318,956
11,48,Venonat,1/576,"2,881"
12,54,Psyduck,1/407,"3,256"
13,56,Mankey,1/296,"2,076"
14,58,Growlithe,1/715,"3,578"
15,59,Arcanine,1/48,144
16,60,Poliwag,"1/1,120","2,240"
17,63,Abra,1/470,"3,763"
18,77,Ponyta,1/353,"1,415"
19,81,Magnemite,1/364,"6,202"
20,92,Gastly,1/368,"1,844"
21,96,Drowzee,1/674,"2,024"
22,100,Voltorb,1/300,"5,402"
23,104,Cubone,"1/2,056","2,056"
24,106,Hitmonlee,1/462,"36,982"
25,107,Hitmonchan,1/453,"36,734"
26,109,Koffing,1/473,"2,843"
27,113,Chansey,1/25,127
28,122,Mr. Mime,1/99,99
29,124,Jynx,1/176,176
30,125,Electabuzz,1/506,"102,260"
31,126,Magmar,1/558,"102,770"
32,128,Tauros,1/206,619
33,129,Magikarp,1/344,"3,096"
34,133,Eevee,1/667,"6,679"
35,138,Omanyte,1/180,542
36,147,Dratini,1/402,402
37,152,Chikorita,1/564,"3,387"
38,155,Cyndaquil,1/368,"3,315"
39,158,Totodile,1/698,"3,491"
40,185,Sudowoodo,1/381,"1,525"
41,193,Yanma,1/448,448
42,194,Wooper,1/373,"3,358"
43,204,Pineco,1/33,33
44,206,Dunsparce,1/930,930
45,209,Snubbull,1/678,"9,502"
46,216,Teddiursa,1/630,"1,261"
47,220,Swinub,1/455,"6,374"
48,241,Miltank,1/607,607
49,261,Poochyena,1/293,"2,645"
50,263,Zigzagoon,"1/1,272","2,544"
51,265,Wurmple,1/369,"10,728"
52,273,Seedot,1/756,756
53,276,Taillow,1/444,"5,779"
54,296,Makuhita,1/519,"147,499"
55,300,Skitty,1/917,"2,753"
56,302,Sableye,1/162,162
57,304,Aron,1/521,"9,903"
58,307,Meditite,1/499,"147,784"
59,311,Plusle,1/839,"8,396"
60,312,Minun,1/705,"8,465"
61,313,Volbeat,1/289,867
62,314,Illumise,1/269,"1,077"
63,325,Spoink,1/380,"10,263"
64,333,Swablu,1/304,"2,132"
65,335,Zangoose,1/476,"18,578"
66,336,Seviper,1/509,"18,328"
67,337,Lunatone,1/150,300
68,338,Solrock,1/336,672
69,351,Castform,1/495,991
70,353,Shuppet,1/914,914
71,387,Turtwig,"1/1,003","4,012"
72,390,Chimchar,1/378,"3,403"
73,393,Piplup,1/348,"3,482"
74,418,Buizel,"1/1,068","1,068"
75,427,Buneary,1/591,"8,866"
76,431,Glameow,1/614,"18,429"
77,443,Gible,1/87,174
78,453,Croagunk,1/445,"3,567"
79,495,Snivy,1/870,870
80,504,Patrat,1/342,"2,738"
81,527,Woobat,1/333,333
82,597,Ferroseed,1/803,"2,409"
83,631,Heatmor,1/174,174
84,632,Durant,1/698,698
85,659,Bunnelby,1/749,"17,232"
86,661,Fletchling,1/661,"3,971"
