,id,name,rate,total
0,10,Caterpie,1/426,"4,694"
1,13,Weedle,1/355,"7,110"
2,15,Beedrill,1/73,73
3,21,Spearow,1/513,"6,160"
4,23,Ekans,1/531,"10,625"
5,25,Pikachu,1/373,"8,214"
6,27,Sandshrew,1/522,"28,751"
7,37,Vulpix,1/444,"10,234"
8,41,Zubat,1/412,"11,561"
9,43,Oddish,1/290,"2,035"
10,50,Diglett,1/430,"12,929"
11,52,Meowth,1/712,"4,272"
12,54,Psyduck,1/691,"1,383"
13,56,Mankey,1/623,"2,495"
14,60,Poliwag,1/453,"5,893"
15,63,Abra,1/423,847
16,72,Tentacool,1/488,"1,465"
17,77,Ponyta,1/497,"37,291"
18,83,Farfetch'd,1/81,245
19,92,Gastly,1/609,"4,876"
20,98,Krabby,1/611,"2,444"
21,100,Voltorb,1/466,"13,521"
22,106,Hitmonlee,1/600,"3,001"
23,107,Hitmonchan,1/489,"2,934"
24,109,Koffing,1/728,"5,102"
25,111,Rhyhorn,1/573,"1,147"
26,114,Tangela,1/593,"6,529"
27,115,Kangaskhan,1/139,"2,091"
28,118,Goldeen,1/464,"3,715"
29,120,Staryu,1/299,"2,696"
30,122,Mr. Mime,1/677,677
31,127,Pinsir,1/300,300
32,128,Tauros,1/602,"1,205"
33,129,Magikarp,1/522,"6,797"
34,130,Gyarados,1/143,287
35,133,Eevee,1/570,"15,969"
36,137,Porygon,1/572,572
37,142,Aerodactyl,1/38,230
38,152,Chikorita,"1/1,039","2,078"
39,155,Cyndaquil,1/382,"2,294"
40,158,Totodile,1/362,"2,176"
41,161,Sentret,1/588,"4,117"
42,163,Hoothoot,1/406,"10,972"
43,165,Ledyba,1/598,"19,765"
44,170,Chinchou,1/520,"22,377"
45,176,Togetic,1/386,"2,704"
46,177,Natu,1/851,"1,702"
47,179,Mareep,1/452,"8,145"
48,181,Ampharos,1/127,382
49,183,Marill,1/281,"1,688"
50,185,Sudowoodo,1/93,93
51,187,Hoppip,1/517,"34,702"
52,190,Aipom,1/556,"2,227"
53,191,Sunkern,1/634,"1,904"
54,193,Yanma,1/456,"1,826"
55,194,Wooper,1/978,978
56,202,Wobbuffet,"1/1,141","1,141"
57,203,Girafarig,"1/1,092","1,092"
58,206,Dunsparce,"1/1,098","2,197"
59,209,Snubbull,1/286,"1,433"
60,211,Qwilfish,1/519,"4,155"
61,213,Shuckle,1/437,"5,682"
62,216,Teddiursa,1/366,"6,602"
63,218,Slugma,1/287,"1,435"
64,222,Corsola,1/541,"2,709"
65,223,Remoraid,1/506,"3,547"
66,226,Mantine,1/501,501
67,228,Houndour,1/592,"12,433"
68,231,Phanpy,1/400,"1,200"
69,234,Stantler,1/304,608
70,237,Hitmontop,1/441,"6,625"
71,280,Ralts,1/493,"4,441"
72,282,Gardevoir,1/116,"1,052"
73,283,Surskit,1/589,"9,435"
74,285,Shroomish,1/544,"1,633"
75,293,Whismur,1/226,678
76,303,Mawile,1/51,"1,643"
77,304,Aron,1/421,"16,434"
78,306,Aggron,1/281,844
79,307,Meditite,1/478,"1,912"
80,313,Volbeat,1/554,"1,108"
81,322,Numel,1/335,"3,352"
82,333,Swablu,1/294,"3,532"
83,335,Zangoose,1/166,"1,168"
84,336,Seviper,1/351,703
85,337,Lunatone,1/961,961
86,338,Solrock,1/263,"1,318"
87,351,Castform,1/271,"3,800"
88,396,Starly,1/491,"28,012"
89,399,Bidoof,1/532,"11,180"
90,401,Kricketot,1/596,"11,936"
91,408,Cranidos,1/451,451
92,412,Burmy,1/464,"1,393"
93,418,Buizel,1/404,808
94,425,Drifloon,1/459,"5,509"
95,427,Buneary,1/497,"11,451"
96,428,Lopunny,1/183,"1,100"
97,431,Glameow,1/452,"13,580"
98,449,Hippopotas,1/618,"1,237"
99,453,Croagunk,1/557,"18,388"
100,456,Finneon,1/398,"3,988"
101,495,Snivy,1/399,"7,986"
102,498,Tepig,1/676,"8,123"
103,501,Oshawott,1/464,"8,834"
104,504,Patrat,1/520,"11,440"
105,506,Lillipup,1/421,"18,985"
106,509,Purrloin,1/515,"38,131"
107,511,Pansage,1/639,"3,196"
108,513,Pansear,1/124,249
109,515,Panpour,1/519,"2,598"
110,519,Pidove,1/396,"22,230"
111,522,Blitzle,1/686,"9,611"
112,524,Roggenrola,1/434,868
113,527,Woobat,1/485,"9,705"
114,529,Drilbur,"1/1,627","1,627"
115,535,Tympole,1/649,"10,392"
116,538,Throh,1/270,"1,623"
117,539,Sawk,1/536,"3,754"
118,543,Venipede,1/408,"4,494"
119,546,Cottonee,1/483,966
120,557,Dwebble,"1/2,706","2,706"
121,572,Minccino,1/627,"5,019"
122,588,Karrablast,1/322,"4,193"
123,590,Foongus,1/580,"8,709"
124,592,Frillish,1/413,"1,240"
125,594,Alomomola,1/81,81
126,597,Ferroseed,1/391,"2,351"
127,605,Elgyem,1/581,"2,324"
128,610,Axew,1/263,"1,319"
129,616,Shelmet,1/698,"2,792"
130,618,Stunfisk,1/491,"6,878"
131,627,Rufflet,1/447,"1,343"
132,631,Heatmor,1/97,292
133,632,Durant,1/435,"1,306"
134,650,Chespin,1/331,"3,973"
135,659,Bunnelby,1/813,"5,695"
136,667,Litleo,1/599,"1,199"
137,676,Furfrou,1/654,"4,581"
138,688,Binacle,1/763,"1,526"
139,694,Helioptile,1/803,803
140,712,Bergmite,1/271,"1,357"
141,714,Noibat,1/293,293
142,734,Yungoos,1/545,"9,819"
143,759,Stufful,"1/1,751","1,751"
