,id,name,rate,total
0,1,Bulbasaur,1/352,"3,523"
1,4,Charmander,1/467,"2,339"
2,7,Squirtle,1/471,"3,303"
3,13,Weedle,1/413,"7,865"
4,15,Beedrill,1/37,74
5,16,Pidgey,1/538,"5,381"
6,25,Pikachu,"1/1,029","4,116"
7,27,Sandshrew,1/56,56
8,35,Clefairy,1/612,"3,063"
9,39,Jigglypuff,1/413,"8,268"
10,58,Growlithe,1/862,862
11,60,Poliwag,1/534,"2,672"
12,66,Machop,1/685,"6,172"
13,72,Tentacool,1/562,"5,624"
14,88,Grimer,1/489,"1,467"
15,109,Koffing,1/626,"1,252"
16,115,Kangaskhan,1/488,"1,466"
17,118,Goldeen,1/457,"2,289"
18,128,Tauros,1/383,767
19,131,Lapras,1/48,97
20,133,Eevee,1/554,"20,505"
21,161,Sentret,1/970,"2,912"
22,170,Chinchou,1/571,"5,714"
23,179,Mareep,1/480,"2,885"
24,200,Misdreavus,1/690,"8,980"
25,216,Teddiursa,1/207,415
26,220,Swinub,1/652,"10,444"
27,227,Skarmory,1/60,"2,727"
28,234,Stantler,1/535,"2,677"
29,252,Treecko,1/847,"3,389"
30,255,Torchic,"1/1,143","3,429"
31,258,Mudkip,1/449,"9,894"
32,261,Poochyena,1/398,"5,582"
33,278,Wingull,1/298,896
34,280,Ralts,1/608,"1,824"
35,287,Slakoth,1/307,"1,229"
36,296,Makuhita,1/448,"8,520"
37,304,Aron,"1/1,232","4,930"
38,309,Electrike,1/436,436
39,313,Volbeat,1/857,857
40,336,Seviper,1/498,498
41,337,Lunatone,1/510,510
42,338,Solrock,1/107,214
43,371,Bagon,1/237,237
44,387,Turtwig,1/405,"11,768"
45,390,Chimchar,1/474,"12,331"
46,393,Piplup,1/452,"8,149"
47,401,Kricketot,1/304,"1,829"
48,412,Burmy,1/747,"1,494"
49,425,Drifloon,1/455,"2,275"
50,427,Buneary,1/467,"5,141"
51,436,Bronzor,1/58,"4,623"
52,459,Snover,"1/1,514","1,514"
53,495,Snivy,1/565,"128,912"
54,506,Lillipup,1/533,"156,789"
55,524,Roggenrola,1/397,"39,392"
56,527,Woobat,1/351,"4,564"
57,572,Minccino,1/460,"6,443"
58,597,Ferroseed,1/430,"21,972"
59,613,Cubchoo,1/474,"3,319"
60,632,Durant,1/215,215
