,id,name,rate,total
0,1,Bulbasaur,1/628,"3,769"
1,4,Charmander,1/770,"6,165"
2,5,Charmeleon,1/199,199
3,7,Squirtle,1/407,"4,481"
4,10,Caterpie,1/629,"9,437"
5,11,Metapod,1/214,214
6,13,Weedle,1/455,"8,205"
7,16,Pidgey,1/459,"11,494"
8,19,Rattata,1/414,"15,347"
9,20,Raticate,1/88,265
10,21,Spearow,1/532,"8,512"
11,22,Fearow,1/197,197
12,23,Ekans,"1/1,255","7,530"
13,25,Pikachu,"1/1,140","3,422"
14,27,Sandshrew,1/397,"3,183"
15,28,Sandslash,1/83,83
16,29,Nidoran♀,1/468,"4,217"
17,32,Nidoran♂,1/873,"6,111"
18,35,Clefairy,1/473,"2,368"
19,37,Vulpix,1/938,"2,816"
20,39,Jigglypuff,1/438,"5,260"
21,41,Zubat,1/252,"1,263"
22,43,Oddish,1/436,"8,289"
23,46,Paras,1/275,"4,958"
24,48,Venonat,1/741,"4,447"
25,50,Diglett,"1/1,168","4,674"
26,52,Meowth,1/521,"9,900"
27,54,Psyduck,1/383,"3,071"
28,56,Mankey,1/646,"5,170"
29,58,Growlithe,1/315,"6,625"
30,60,Poliwag,1/724,"2,899"
31,63,Abra,1/607,"4,250"
32,66,Machop,1/500,"6,511"
33,69,Bellsprout,1/856,"5,141"
34,74,Geodude,1/442,"7,530"
35,75,Graveler,1/127,127
36,77,Ponyta,1/341,"2,728"
37,79,Slowpoke,"1/1,043","3,130"
38,81,Magnemite,1/450,"4,951"
39,83,Farfetch'd,"1/1,382","1,382"
40,84,Doduo,1/308,"3,392"
41,88,Grimer,1/623,"5,611"
42,90,Shellder,1/307,307
43,92,Gastly,1/717,"4,304"
44,93,Haunter,1/77,77
45,96,Drowzee,1/347,"3,823"
46,100,Voltorb,1/354,"2,484"
47,102,Exeggcute,1/655,"8,518"
48,104,Cubone,1/464,"6,038"
49,106,Hitmonlee,1/247,"2,478"
50,107,Hitmonchan,1/876,"2,628"
51,108,Lickitung,1/425,"2,129"
